Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin
ENS_FINAL3,val,0.6549999999999999,0.573076923076923,0.5745738636363636,0.5316455696202531,0.5697097106051796,0.6,0.4772727272727273,0.5548387096774193,0.671875,0.5784801136363635,0.15196658067558386,0.7438488355676224,0.26637844495776314,63,42,86,69,0.40384615384615385,0.5076923076923077,1.0,260,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,val_f1_macro,
ENS_FINAL3,test,0.6549999999999999,0.49523809523809526,0.49346923966529854,0.19391634980988592,0.4132493360834525,0.4722222222222222,0.12200956937799043,0.49863387978142076,0.8649289099526066,0.535119843987392,-0.01951060291396419,0.7423714942038231,0.26972863164576927,51,57,365,367,0.12857142857142856,0.4976190476190476,1.0,840,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,val_f1_macro,
ENS_FINAL3_th05,test,0.5,0.5476190476190477,0.5470418830358965,0.483695652173913,0.5405766396462786,0.559748427672956,0.4258373205741627,0.5402298850574713,0.6682464454976303,0.535119843987392,0.09698626803409895,0.7423714942038231,0.26972863164576927,178,140,282,240,0.37857142857142856,0.4976190476190476,1.0,840,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,fixed_0.5,
ENS_FINAL3,test_selective,0.5,0.5447470817120622,0.5427850316327905,0.4673748103186646,0.5349331582737151,0.5519713261648745,0.4052631578947368,0.540650406504065,0.680306905370844,0.5306636155606408,0.08902610585805085,0.7469722767913775,0.2715919597902091,154,125,266,226,0.36186770428015563,0.49286640726329445,0.9178571428571428,771,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,selective_fixed_0.5,0.02
ENS_FINAL3,test_selective,0.5,0.542203147353362,0.5419893573475235,0.4612794612794613,0.5316347555153526,0.5591836734693878,0.39255014326647564,0.5330396475770925,0.6914285714285714,0.5318297175603766,0.08800452242011257,0.7533220340878917,0.27421813542666473,137,108,242,212,0.35050071530758226,0.49928469241773965,0.8321428571428572,699,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,selective_fixed_0.5,0.04
ENS_FINAL3,test_selective,0.5,0.5416012558869702,0.5408960962145111,0.45925925925925926,0.5307195478857605,0.5560538116591929,0.3911671924290221,0.533816425120773,0.690625,0.528401025236593,0.08573612832609563,0.7597109304068552,0.2768406586857687,124,99,221,193,0.3500784929356358,0.4976452119309262,0.7583333333333333,637,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,selective_fixed_0.5,0.06
ENS_FINAL3,test_selective,0.5,0.5434027777777778,0.5372239595281504,0.4416135881104034,0.527708409326861,0.5360824742268041,0.37545126353790614,0.5471204188481675,0.6989966555183946,0.5149415017567585,0.07870376260951913,0.7663169047909837,0.27946560968212464,104,90,209,173,0.3368055555555556,0.4809027777777778,0.6857142857142857,576,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,selective_fixed_0.5,0.08
ENS_FINAL3,test_selective,0.5,0.5403846153846154,0.5325545540796963,0.4295942720763723,0.5223655740414067,0.5263157894736842,0.3629032258064516,0.5472779369627507,0.7022058823529411,0.5075604838709677,0.06922154212672964,0.7751018876309611,0.28309294271359076,90,81,191,158,0.32884615384615384,0.47692307692307695,0.6190476190476191,520,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,selective_fixed_0.5,0.1
ENS_FINAL3,test_selective,0.5,0.5309734513274337,0.5258228840125392,0.40782122905027934,0.5097714203859456,0.5289855072463768,0.33181818181818185,0.5318471337579618,0.7198275862068966,0.5102664576802508,0.05605130208713212,0.7902410399536359,0.28947465128174765,73,65,167,147,0.3053097345132743,0.48672566371681414,0.5380952380952381,452,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,selective_fixed_0.5,0.12
ENS_FINAL3,test_selective,0.5,0.5128205128205128,0.5028817974601107,0.38267148014440433,0.4901592694839669,0.4774774774774775,0.3192771084337349,0.5291666666666667,0.6864864864864865,0.4952784109410615,0.0061882271644153565,0.822199210423632,0.30286047155653417,53,58,127,113,0.3162393162393162,0.47293447293447294,0.41785714285714287,351,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,selective_fixed_0.5,0.15
