feature,MI,abs_sp,MI_n,abs_sp_n,mix_score,rank_spearman,rank_mi,rank_mi_spearman
day_of_week_sin,0.01887178428924763,0.07611826146704767,0.8853967298045726,0.9344550601617332,0.9099258949831529,3,2,1
gdelt_goldstein,0.02131449513419037,0.05183002380674047,1.0,0.6362839492265435,0.8181419746132718,12,1,2
gdelt_tone_7d,0.018507650609766113,0.05573014030161293,0.8683128778442505,0.6841631772017062,0.7762380275229783,10,4,3
gdelt_tone_30d,0.011855245482631283,0.05449830428857737,0.5562057842793753,0.6690407167896426,0.612623250534509,11,6,4
inventory_zscore,0.011773343646782397,0.05074433626046162,0.5523632426037103,0.6229556597750819,0.5876594511893961,13,7,5
conflict_event_count_log1p,0.0028803220969959575,0.08145738057630435,0.13513442748055812,1.0,0.5675672137402791,1,13,6
conflict_intensity_7d_log1p,0.002252044932445685,0.07886887942082593,0.10565790642787508,0.968222632041873,0.536940269234874,2,15,7
fatalities_log1p,0.0063667422786184424,0.06207871924345538,0.2987048127828097,0.7621006077565161,0.5304027102696629,5,11,8
oil_return_lag2,0.018685729418415065,0.01001265670614283,0.8766676996464003,0.12291896247220445,0.4997933310593024,24,3,9
inventory_change_pct,0.0,0.07188102487290284,0.0,0.8824372250169404,0.4412186125084702,4,18,10
production_change_pct_slog1p,0.010795537644851638,0.02585708327388073,0.5064880766298153,0.31743082199481454,0.41195944931231493,19,9,11
gdelt_volume_lag1_log1p,0.0013762235282999136,0.06035579116865141,0.0645674936063734,0.7409493251764185,0.40275840939139596,7,16,12
gdelt_goldstein_7d,0.0007289301253505798,0.06201459182574348,0.03419879855288292,0.7613133565920642,0.39775607757247355,6,17,13
sp500_return,0.01352683643528163,0.010771490979278523,0.6346308627119845,0.13223468399144558,0.38343277335171505,23,5,14
gdelt_tone_lag1,0.0,0.05664984333816549,0.0,0.6954537813194145,0.34772689065970724,8,19,15
fatalities_7d_log1p,0.008152664595080239,0.025234900876994943,0.38249391054084275,0.3097926878873353,0.34614329921408904,20,10,16
net_imports_change_pct_slog1p,0.0,0.056384893564056335,0.0,0.6922011629288567,0.34610058146442835,9,20,17
day_of_week_cos,0.005337829284224327,0.03531771410528395,0.25043188921993126,0.4335729169709852,0.34200240309545826,16,12,18
vix_return_slog1p,0.011074144123530694,0.002580662123446165,0.5195592977366266,0.03168113319122454,0.27562021546392557,27,8,19
gdelt_events_log1p,0.0,0.04170495997680284,0.0,0.5119850366135473,0.25599251830677366,14,21,20
month_sin,0.0,0.03752183475017575,0.0,0.4606314920110593,0.23031574600552965,15,22,21
oil_return,0.0,0.034917456871062375,0.0,0.42865921570303644,0.21432960785151822,17,23,22
yield_spread,0.0,0.030648926995303645,0.0,0.3762572130169787,0.18812860650848934,18,24,23
oil_return_lag1,0.0,0.02500397672493242,0.0,0.3069577802285234,0.1534788901142617,21,25,24
month_cos,0.0,0.015695881673210805,0.0,0.19268826915576856,0.09634413457788428,22,26,25
usd_return,0.0025113473140465636,0.0038230060832959833,0.11782344823256621,0.04693259292465,0.0823780205786081,25,14,26
vix_lag1_log1p,0.0,0.002944925827345546,0.0,0.03615296498009677,0.018076482490048385,26,27,27
