Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode
FS_GBM,val,0.46249999999999997,0.5846153846153846,0.5835700757575757,0.6142857142857143,0.5821428571428572,0.581081081081081,0.6515151515151515,0.5892857142857143,0.515625,0.5816169507575757,0.168745761400863,0.7144044741692962,0.2563720224859203,86,62,66,46,0.5692307692307692,0.5076923076923077,1.0,260,feature_selection,GBM,uniform,SPEARMAN_TOP_25,25,val_f1_macro
FS_GBM,test,0.46249999999999997,0.5202380952380953,0.5193485113041112,0.40822320117474303,0.5024098988856698,0.5285171102661597,0.33253588516746413,0.5164644714038128,0.7061611374407583,0.5301140615433456,0.04172113712300433,0.8484168538468703,0.30050165599787704,139,124,298,279,0.3130952380952381,0.4976190476190476,1.0,840,feature_selection,GBM,uniform,SPEARMAN_TOP_25,25,val_f1_macro
FS_GBM_th05,test,0.5,0.5023809523809524,0.5012358556883376,0.34276729559748426,0.4711920769175161,0.5,0.2607655502392344,0.5032154340836013,0.7417061611374408,0.5301140615433456,0.0028191532426220683,0.8484168538468703,0.30050165599787704,109,109,313,309,0.25952380952380955,0.4976190476190476,1.0,840,feature_selection,GBM,uniform,SPEARMAN_TOP_25,25,fixed_0.5
FS_XGB,val,0.52,0.5923076923076923,0.592092803030303,0.6015037593984962,0.5920904623764134,0.5970149253731343,0.6060606060606061,0.5873015873015873,0.578125,0.5911458333333334,0.18425104774185402,0.6969665949473067,0.24948852246884592,80,54,74,52,0.5153846153846153,0.5076923076923077,1.0,260,feature_selection,XGB,uniform,SPEARMAN_TOP_25,25,val_f1_macro
FS_XGB,test,0.52,0.5238095238095238,0.5225061792784417,0.34210526315789475,0.4844854673998429,0.5473684210526316,0.24880382775119617,0.5169230769230769,0.7962085308056872,0.5407832377151409,0.053795092332309766,0.7911153815951877,0.28534454460212877,104,86,336,314,0.2261904761904762,0.4976190476190476,1.0,840,feature_selection,XGB,uniform,SPEARMAN_TOP_25,25,val_f1_macro
FS_XGB_th05,test,0.5,0.5226190476190476,0.5214460645366108,0.36450079239302696,0.4911159824691541,0.539906103286385,0.2751196172248804,0.5167464114832536,0.7677725118483413,0.5407832377151409,0.04929449234774542,0.7911153815951877,0.28534454460212877,115,98,324,303,0.25357142857142856,0.4976190476190476,1.0,840,feature_selection,XGB,uniform,SPEARMAN_TOP_25,25,fixed_0.5
FS_LGBM,val,0.49999999999999994,0.6038461538461538,0.603811553030303,0.6083650190114068,0.6037934044473376,0.6106870229007634,0.6060606060606061,0.5968992248062015,0.6015625,0.613577178030303,0.2076046760658016,0.6902796082690048,0.24609866866582764,80,51,77,52,0.5038461538461538,0.5076923076923077,1.0,260,feature_selection,LGBM,uniform,SPEARMAN_TOP_25,25,val_f1_macro
FS_LGBM,test,0.49999999999999994,0.5107142857142857,0.5093369464160185,0.3092436974789916,0.4652209270805096,0.519774011299435,0.22009569377990432,0.5082956259426847,0.7985781990521327,0.5311288237828522,0.022894746071828353,0.7913823149479592,0.28741123007635083,92,85,337,326,0.21071428571428572,0.4976190476190476,1.0,840,feature_selection,LGBM,uniform,SPEARMAN_TOP_25,25,val_f1_macro
FS_LGBM_th05,test,0.5,0.5107142857142857,0.5093369464160185,0.3092436974789916,0.4652209270805096,0.519774011299435,0.22009569377990432,0.5082956259426847,0.7985781990521327,0.5311288237828522,0.022894746071828353,0.7913823149479592,0.28741123007635083,92,85,337,326,0.21071428571428572,0.4976190476190476,1.0,840,feature_selection,LGBM,uniform,SPEARMAN_TOP_25,25,fixed_0.5
FS_LGBM_small,val,0.5249999999999999,0.6,0.6002604166666667,0.5968992248062015,0.5999763299603527,0.6111111111111112,0.5833333333333334,0.5895522388059702,0.6171875,0.5922111742424242,0.20059207896831666,0.6870372058141277,0.2465045119483247,77,49,79,55,0.4846153846153846,0.5076923076923077,1.0,260,feature_selection,LGBM_small,uniform,SPEARMAN_TOP_25,25,val_f1_macro
FS_LGBM_small,test,0.5249999999999999,0.5202380952380953,0.5185661806390168,0.2578268876611418,0.4516926874541417,0.56,0.1674641148325359,0.5132867132867133,0.8696682464454977,0.5329372548130343,0.05216616446166899,0.7382905536203352,0.26915053550686835,70,55,367,348,0.1488095238095238,0.4976190476190476,1.0,840,feature_selection,LGBM_small,uniform,SPEARMAN_TOP_25,25,val_f1_macro
FS_LGBM_small_th05,test,0.5,0.530952380952381,0.5296038458921971,0.3433333333333333,0.4892592592592593,0.5659340659340659,0.24641148325358853,0.5212765957446809,0.8127962085308057,0.5329372548130343,0.0718577899534095,0.7382905536203352,0.26915053550686835,103,79,343,315,0.21666666666666667,0.4976190476190476,1.0,840,feature_selection,LGBM_small,uniform,SPEARMAN_TOP_25,25,fixed_0.5
