Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin,ModelConfig
LGBM_linear03,test_selective,0.5,0.572538860103627,0.5274634318434693,0.1624365482233502,0.4377400132421098,0.6666666666666666,0.0924855491329479,0.5662983425414365,0.9624413145539906,0.531439116393932,0.1131195708292772,0.8513546278590389,0.3015420712917794,16,8,205,157,0.0621761658031088,0.4481865284974093,0.4595238095238095,386,weight_decay,LGBM,linear_03,all,27.0,selective_fixed_0.5,0.2,LGBM_linear03
LGBM_small_step50_3,test_selective,0.5,0.5652173913043478,0.5023076923076923,0.0384615384615384,0.378781331028522,0.5,0.02,0.5663716814159292,0.9846153846153848,0.5396153846153846,0.0175023094848733,0.7690955127976382,0.2804655782826659,2,2,128,98,0.017391304347826,0.4347826086956521,0.2738095238095238,230,weight_decay,LGBM_small,step_50pct_3x,all,27.0,selective_fixed_0.5,0.2,LGBM_small_step50_3
XGB_linear03,test_selective,0.5,0.5606060606060606,0.5212962962962963,0.1553398058252427,0.4292057390900957,0.6153846153846154,0.0888888888888888,0.5567567567567567,0.9537037037037036,0.5740997942386832,0.085626790970743,0.8455892157962386,0.3038344353012187,16,10,206,164,0.0656565656565656,0.4545454545454545,0.4714285714285714,396,weight_decay,XGB,linear_03,all,27.0,selective_fixed_0.5,0.2,XGB_linear03
ENS_XGB_LGBM_STEP,test_selective,0.5,0.5588235294117647,0.5089200963808503,0.1176470588235294,0.411764705882353,0.5217391304347826,0.0662983425414364,0.561038961038961,0.9515418502202644,0.5228417747706088,0.0384288577547822,0.8790196343919457,0.3130801726963776,12,11,216,169,0.0563725490196078,0.4436274509803921,0.4857142857142857,408,ensemble,average_proba_ensemble,"XGB_step50_3,LGBM_step50_3",from_members,,selective_fixed_0.5,0.2,ENS_XGB_LGBM_STEP
ENS_TOP5_VAL,test_selective,0.5,0.5575221238938053,0.5098039215686274,0.0384615384615384,0.375552608311229,1.0,0.0196078431372549,0.5535714285714286,1.0,0.51747311827957,0.1041841721985382,0.7768578719622701,0.2843160210879731,2,0,124,100,0.0088495575221238,0.4513274336283185,0.269047619047619,226,ensemble,average_proba_ensemble,"BASE_LGBM,FS_LGBM,BASE_GBM,FS_LGBM_small,BASE_SVM_RBF",from_members,,selective_fixed_0.5,0.2,ENS_TOP5_VAL
LGBM_linear01,test_selective,0.5,0.5515587529976019,0.5236313236313237,0.1614349775784753,0.4276896655486484,0.6428571428571429,0.0923076923076923,0.5449871465295629,0.954954954954955,0.5394317394317394,0.0942232369937825,0.8975897748650631,0.3188132692587513,18,10,212,177,0.0671462829736211,0.4676258992805755,0.4964285714285714,417,weight_decay,LGBM,linear_01,all,27.0,selective_fixed_0.5,0.2,LGBM_linear01
LGBM_step50_3,test_selective,0.5,0.5496535796766744,0.5145599793840999,0.1409691629955947,0.4179024218733842,0.5714285714285714,0.0804020100502512,0.5481481481481482,0.9487179487179488,0.5608169050380105,0.0590090598443212,0.8855616053707814,0.3158819449003275,16,12,222,183,0.0646651270207852,0.4595842956120092,0.5154761904761904,433,weight_decay,LGBM,step_50pct_3x,all,27.0,selective_fixed_0.5,0.2,LGBM_step50_3
GBM_exp250,test_selective,0.5,0.5470588235294118,0.5195085447774181,0.2450980392156862,0.4607843137254902,0.5319148936170213,0.1592356687898089,0.5494880546075085,0.8797814207650273,0.5143573143990811,0.0563569527290482,0.8498980013403391,0.3075762377046457,25,22,161,132,0.138235294117647,0.4617647058823529,0.4047619047619047,340,weight_decay,GBM,exp_hl250,all,27.0,selective_fixed_0.5,0.2,GBM_exp250
LGBM_linear03,test_selective,0.5,0.5452674897119342,0.5204508363933088,0.1963636363636363,0.4396452328159645,0.574468085106383,0.1184210526315789,0.5421412300683371,0.9224806201550388,0.5543995648034816,0.0690616829591342,0.8425617356106851,0.3021026752636581,27,20,238,201,0.0967078189300411,0.4691358024691358,0.5785714285714286,486,weight_decay,LGBM,linear_03,all,27.0,selective_fixed_0.5,0.15,LGBM_linear03
XGB_step50_3,test_selective,0.5,0.5447941888619855,0.5080191798941799,0.1296296296296296,0.4107164541590771,0.5185185185185185,0.074074074074074,0.5466321243523317,0.9419642857142856,0.5287698412698412,0.0323250591771404,0.9032284258082224,0.321831913473913,14,13,211,175,0.0653753026634382,0.4576271186440678,0.4916666666666666,413,weight_decay,XGB,step_50pct_3x,all,27.0,selective_fixed_0.5,0.2,XGB_step50_3
