Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin,SourceGroup,ModelConfig,TestEvidence,CommonMetricSet,ComparableUse,Device,Lookback,Epochs,FinalRefit
ENS_FINAL3_th05,test,0.5,0.5476190476190477,0.5470418830358965,0.483695652173913,0.5405766396462786,0.559748427672956,0.4258373205741627,0.5402298850574713,0.6682464454976303,0.535119843987392,0.0969862680340989,0.7423714942038231,0.2697286316457692,178,140,282,240,0.3785714285714285,0.4976190476190476,1.0,840,ensemble,average_proba_ensemble,"LGBM_exp100,GBM_exp100,XGB_linear03",from_members,,fixed_0.5,,ml,ENS_FINAL3,current_unified_test_run,full_common_metrics,primary,,,,
LGBM_exp100_th05,test,0.5,0.5345238095238095,0.5346776570897299,0.5479768786127167,0.5341111386928614,0.5302013422818792,0.5669856459330144,0.539440203562341,0.5023696682464455,0.5233792149481847,0.0694982826548192,0.811267707129086,0.2904569017706411,237,210,212,181,0.5321428571428571,0.4976190476190476,1.0,840,weight_decay,LGBM,exp_hl100,all,27.0,fixed_0.5,,ml,LGBM_exp100,current_unified_test_run,full_common_metrics,primary,,,,
GBM_exp100_th05,test,0.5,0.5261904761904762,0.5260323363341572,0.508641975308642,0.525585355470413,0.5255102040816326,0.492822966507177,0.5267857142857143,0.5592417061611374,0.5102780108392481,0.0521801674171788,0.8214580095438496,0.2946727549191533,206,186,236,212,0.4666666666666667,0.4976190476190476,1.0,840,weight_decay,GBM,exp_hl100,all,27.0,fixed_0.5,,ml,GBM_exp100,current_unified_test_run,full_common_metrics,primary,,,,
BASE_MLP_th05,test,0.5,0.5238095238095238,0.523991473729563,0.5402298850574713,0.5232013622818221,0.5199115044247787,0.562200956937799,0.5283505154639175,0.485781990521327,0.5369452822059457,0.0481222813735031,3.382164044230625,0.4307879419938711,235,217,205,183,0.5380952380952381,0.4976190476190476,1.0,840,baseline,MLP,uniform,all,27.0,fixed_0.5,,ml,BASE_MLP,current_unified_test_run,full_common_metrics,primary,,,,
BASE_LogReg_th05,test,0.5,0.5166666666666667,0.5163382389623348,0.4794871794871795,0.5141880341880342,0.5165745856353591,0.4473684210526316,0.5167364016736402,0.5853080568720379,0.5250289122202317,0.0329922072837126,0.7006776743471749,0.2534591168520317,187,175,247,231,0.430952380952381,0.4976190476190476,1.0,840,baseline,LogisticRegression,uniform,all,27.0,fixed_0.5,,ml,BASE_LogReg,current_unified_test_run,full_common_metrics,primary,,,,
DL_GRU_L40_th05,test,0.5,0.5166666666666667,0.5163155627111726,0.4768041237113402,0.5138445397317764,0.5167597765363129,0.4425837320574162,0.516597510373444,0.590047393364929,0.5362139731059661,0.0329922083665435,0.716575634327421,0.2602419328141412,185,173,249,233,0.4261904761904762,0.4976190476190476,1.0,840,deep_learning,GRU,,,,fixed_0.5,,dl,DL_GRU_L40,current_unified_test_run,full_common_metrics,primary,cuda,40.0,27.0,train_full
DL_GRU_L5_th05,test,0.5,0.5190476190476191,0.5185605115762262,0.4627659574468085,0.5137105649303009,0.5209580838323353,0.416267942583732,0.5177865612648221,0.6208530805687204,0.520187532597111,0.0379241462354149,0.7012685026811634,0.2538429395413891,174,160,262,244,0.3976190476190476,0.4976190476190476,1.0,840,deep_learning,GRU,,,,fixed_0.5,,dl,DL_GRU_L5,current_unified_test_run,full_common_metrics,primary,cuda,5.0,15.0,train_full
DL_GRU_L10_th05,test,0.5,0.513095238095238,0.5130558516066124,0.5078219013237064,0.5130393369987201,0.5108958837772397,0.5047846889952153,0.5152224824355972,0.5213270142180095,0.5193428422413207,0.0261150345005308,0.7885189227881638,0.2882003341134991,211,202,220,207,0.4916666666666666,0.4976190476190476,1.0,840,deep_learning,GRU,,,,fixed_0.5,,dl,DL_GRU_L10,current_unified_test_run,full_common_metrics,primary,cuda,10.0,34.0,train_full
BASE_SVM_RBF_th05,test,0.5,0.5107142857142857,0.510414068346221,0.4764331210191083,0.5086076219620681,0.5095367847411444,0.4473684210526316,0.5116279069767442,0.5734597156398105,0.5156125989251457,0.0209957398572562,0.6942142566012218,0.2505271504618358,187,180,242,231,0.4369047619047619,0.4976190476190476,1.0,840,baseline,SVM_RBF,uniform,all,27.0,fixed_0.5,,ml,BASE_SVM_RBF,current_unified_test_run,full_common_metrics,primary,,,,
DL_MLP_L40_th05,test,0.5,0.5095238095238095,0.5090251479625388,0.4506666666666666,0.5038279569892473,0.5090361445783133,0.4043062200956938,0.5098425196850394,0.6137440758293838,0.5142633619809973,0.0184598341439922,0.716222845816389,0.2603086371782852,169,163,259,249,0.3952380952380952,0.4976190476190476,1.0,840,deep_learning,MLP,,,,fixed_0.5,,dl,DL_MLP_L40,current_unified_test_run,full_common_metrics,primary,cuda,40.0,5.0,train_full
