Experiment,ModelConfig,Fixed_F1_macro,ValThreshold_F1_macro,Delta_ValMinusFixed_F1,Fixed_Accuracy,ValThreshold_Accuracy,Delta_ValMinusFixed_Acc,ValThreshold
feature_selection,FS_GBM,0.4711920769175161,0.5024098988856698,0.031217821968153703,0.5023809523809524,0.5202380952380953,0.017857142857142905,0.4624999999999999
weight_decay,LGBM_step50_3,0.4815163385910982,0.5042652502816675,0.02274891169056925,0.5190476190476191,0.5285714285714286,0.00952380952380949,0.4674999999999999
weight_decay,XGB_step50_3,0.5002913752913754,0.5047619047619047,0.004470529470529394,0.5333333333333333,0.5357142857142857,0.0023809523809523725,0.495
deep_learning,DL_MLP_L5,0.4886762708954408,0.4925090339745517,0.0038327630791109013,0.4892857142857142,0.4928571428571429,0.0035714285714286698,0.4774999999999999
baseline,BASE_MLP,0.5232013622818221,0.5257361077222509,0.002534745440428754,0.5238095238095238,0.5261904761904762,0.0023809523809523725,0.5425
deep_learning,DL_MLP_L10,0.4975164999659794,0.4975164999659794,0.0,0.4976190476190476,0.4976190476190476,0.0,0.4999999999999999
feature_selection,FS_LGBM,0.4652209270805096,0.4652209270805096,0.0,0.5107142857142857,0.5107142857142857,0.0,0.4999999999999999
deep_learning,DL_MLP_L40,0.5038279569892473,0.5038279569892473,0.0,0.5095238095238095,0.5095238095238095,0.0,0.4999999999999999
deep_learning,DL_GRU_L40,0.5138445397317764,0.5132083266392784,-0.0006362130924979503,0.5166666666666667,0.5190476190476191,0.0023809523809523725,0.5175
weight_decay,XGB_linear03,0.4906112299563015,0.4874228761271951,-0.0031883538291064273,0.5261904761904762,0.5285714285714286,0.0023809523809523725,0.5149999999999999
deep_learning,DL_GRU_L20,0.487314269694421,0.4826099453866053,-0.004704324307815699,0.5023809523809524,0.5,-0.0023809523809523725,0.5025
deep_learning,DL_GRU_L10,0.5130393369987201,0.5082945595532344,-0.004744777445485626,0.513095238095238,0.513095238095238,0.0,0.4024999999999999
baseline,BASE_GBM,0.4986990045594519,0.493145363735604,-0.00555364082384785,0.5238095238095238,0.5321428571428571,0.008333333333333304,0.5325
deep_learning,DL_MLP_L20,0.4834796943209223,0.4769285961159016,-0.0065510982050207,0.4964285714285714,0.4916666666666666,-0.0047619047619048005,0.4974999999999999
feature_selection,FS_XGB,0.4911159824691541,0.4844854673998429,-0.006630515069311227,0.5226190476190476,0.5238095238095238,0.0011904761904761862,0.52
weight_decay,LGBM_linear01,0.4815163385910982,0.4628106280812633,-0.01870571050983494,0.5190476190476191,0.513095238095238,-0.005952380952381042,0.5399999999999999
weight_decay,LGBM_exp100,0.5341111386928614,0.5140221799519076,-0.020088958740953844,0.5345238095238095,0.5202380952380953,-0.014285714285714235,0.58
weight_decay,LGBM_linear03,0.4822282980177717,0.4592816919189951,-0.02294660609877658,0.5190476190476191,0.5083333333333333,-0.010714285714285787,0.5225
weight_decay,GBM_exp250,0.487510766580534,0.4625337693729561,-0.0249769972075779,0.5142857142857142,0.5071428571428571,-0.0071428571428571175,0.5525
weight_decay,XGB_exp100,0.4973882565123441,0.4705850575333585,-0.026803198978985587,0.4976190476190476,0.5,0.0023809523809523725,0.6724999999999999
baseline,BASE_RandomForest,0.4850961538461538,0.4508595691797846,-0.034236584666369196,0.5142857142857142,0.5190476190476191,0.004761904761904856,0.5249999999999999
feature_selection,FS_LGBM_small,0.4892592592592593,0.4516926874541417,-0.03756657180511758,0.530952380952381,0.5202380952380953,-0.010714285714285676,0.5249999999999999
baseline,BASE_XGB,0.4861392832995267,0.4476010101010101,-0.038538273198516604,0.525,0.5238095238095238,-0.0011904761904761862,0.5399999999999999
ensemble,ENS_TOP5_VAL,0.4769171631750913,0.436902966314731,-0.040014196860360285,0.5178571428571429,0.5238095238095238,0.005952380952380931,0.5499999999999999
weight_decay,GBM_exp100,0.525585355470413,0.4832047577974679,-0.04238059767294505,0.5261904761904762,0.5142857142857142,-0.011904761904761973,0.6399999999999999
ensemble,ENS_TOP3_VAL,0.4811659936943415,0.4328290021767756,-0.048336991517565875,0.5214285714285715,0.5214285714285715,0.0,0.565
ensemble,ENS_XGB_LGBM_STEP,0.4859311385838657,0.4350127497269096,-0.0509183888569561,0.5202380952380953,0.5154761904761904,-0.004761904761904856,0.5774999999999999
baseline,BASE_LGBM,0.4836593272009449,0.4315572583849008,-0.05210206881604412,0.5297619047619048,0.5214285714285715,-0.008333333333333304,0.5549999999999999
weight_decay,LGBM_small_step50_3,0.4859366967760887,0.3940331560860035,-0.09190354069008522,0.5238095238095238,0.5059523809523809,-0.017857142857142905,0.59
baseline,BASE_SVM_RBF,0.5086076219620681,0.3941533466997505,-0.1144542752623176,0.5107142857142857,0.4916666666666666,-0.01904761904761909,0.5425
baseline,BASE_LogReg,0.5141880341880342,0.3984592149729764,-0.11572881921505773,0.5166666666666667,0.5083333333333333,-0.008333333333333415,0.5925
deep_learning,DL_GRU_L5,0.5137105649303009,0.3978330181401096,-0.1158775467901913,0.5190476190476191,0.5,-0.01904761904761909,0.5874999999999999
ensemble,ENS_FINAL3,0.5405766396462786,0.4132493360834525,-0.12732730356282607,0.5476190476190477,0.4952380952380952,-0.05238095238095247,0.6549999999999999
