Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin
LGBM_exp100_th05,test,0.5,0.5345238095238095,0.5346776570897299,0.5479768786127167,0.5341111386928614,0.5302013422818792,0.5669856459330144,0.539440203562341,0.5023696682464455,0.5233792149481847,0.06949828265481922,0.811267707129086,0.29045690177064115,237,210,212,181,0.5321428571428571,0.4976190476190476,1.0,840,weight_decay,LGBM,exp_hl100,all,27,fixed_0.5,
GBM_exp100_th05,test,0.5,0.5261904761904762,0.5260323363341572,0.508641975308642,0.525585355470413,0.5255102040816326,0.49282296650717705,0.5267857142857143,0.5592417061611374,0.5102780108392481,0.05218016741717885,0.8214580095438496,0.29467275491915335,206,186,236,212,0.4666666666666667,0.4976190476190476,1.0,840,weight_decay,GBM,exp_hl100,all,27,fixed_0.5,
LGBM_exp100,test,0.58,0.5202380952380953,0.5197113313227057,0.4590604026845638,0.5140221799519076,0.5229357798165137,0.4090909090909091,0.5185185185185185,0.6303317535545023,0.5233792149481847,0.040425719764330965,0.811267707129086,0.29045690177064115,171,156,266,247,0.3892857142857143,0.4976190476190476,1.0,840,weight_decay,LGBM,exp_hl100,all,27,val_f1_macro,
XGB_step50_3,test,0.495,0.5357142857142857,0.5345359305199664,0.38095238095238093,0.5047619047619047,0.5660377358490566,0.28708133971291866,0.5254777070063694,0.7819905213270142,0.5462822286219643,0.0795056095625831,0.8095315550410401,0.2915399104717822,120,92,330,298,0.2523809523809524,0.4976190476190476,1.0,840,weight_decay,XGB,step_50pct_3x,all,27,val_f1_macro,
LGBM_step50_3,test,0.46749999999999997,0.5285714285714286,0.5275289689108597,0.3944954128440367,0.5042652502816675,0.5466101694915254,0.30861244019138756,0.5215231788079471,0.7464454976303317,0.5580058504727998,0.06124770733878861,0.8060497827441313,0.2905123968430052,129,107,315,289,0.28095238095238095,0.4976190476190476,1.0,840,weight_decay,LGBM,step_50pct_3x,all,27,val_f1_macro,
XGB_step50_3_th05,test,0.5,0.5333333333333333,0.5321209097711966,0.3717948717948718,0.5002913752913754,0.5631067961165048,0.27751196172248804,0.5236593059936908,0.7867298578199052,0.5462822286219643,0.07465930802090293,0.8095315550410401,0.2915399104717822,116,90,332,302,0.24523809523809523,0.4976190476190476,1.0,840,weight_decay,XGB,step_50pct_3x,all,27,fixed_0.5,
XGB_exp100_th05,test,0.5,0.4976190476190476,0.4977323748837842,0.5081585081585082,0.4973882565123441,0.4954545454545455,0.5215311004784688,0.5,0.47393364928909953,0.49917798589537177,-0.004540349522204197,0.823966447922927,0.29738561395004587,218,222,200,200,0.5238095238095238,0.4976190476190476,1.0,840,weight_decay,XGB,exp_hl100,all,27,fixed_0.5,
XGB_linear03_th05,test,0.5,0.5261904761904762,0.5249438762783737,0.3559870550161812,0.4906112299563015,0.55,0.2631578947368421,0.51875,0.7867298578199052,0.5595591736774077,0.058564349123646706,0.7810552959000407,0.28302190749521383,110,90,332,308,0.23809523809523808,0.4976190476190476,1.0,840,weight_decay,XGB,linear_03,all,27,fixed_0.5,
GBM_exp250_th05,test,0.5,0.5142857142857142,0.513208916301957,0.37037037037037035,0.487510766580534,0.5217391304347826,0.28708133971291866,0.5114754098360655,0.7393364928909952,0.5314349531735414,0.029621886585618158,0.7764990491146699,0.2828234095029864,120,110,312,298,0.27380952380952384,0.4976190476190476,1.0,840,weight_decay,GBM,exp_hl250,all,27,fixed_0.5,
XGB_linear03,test,0.5149999999999999,0.5285714285714286,0.5272341776457516,0.34219269102990035,0.4874228761271951,0.5597826086956522,0.24641148325358853,0.5198170731707317,0.8080568720379147,0.5595591736774077,0.06584575728920447,0.7810552959000407,0.28302190749521383,103,81,341,315,0.21904761904761905,0.4976190476190476,1.0,840,weight_decay,XGB,linear_03,all,27,val_f1_macro,
