Model,Split,Threshold,Accuracy,BalancedAcc,F1_binary,F1_macro,Precision_UP,Recall_UP,Precision_DOWN,Recall_DOWN,AUC,MCC,LogLoss,Brier,TP,FP,TN,FN,PosRate,TargetUpRate,Coverage,N,Experiment,ModelType,Scheme,FeatureSet,FeatureCount,ThresholdMode,Margin
GBM_exp100,val,0.6399999999999999,0.5769230769230769,0.5771780303030303,0.5736434108527132,0.5768980413042192,0.5873015873015873,0.5606060606060606,0.5671641791044776,0.59375,0.5484138257575758,0.15441090376309619,0.8301684535708369,0.2922673107853599,74,52,76,58,0.4846153846153846,0.5076923076923077,1.0,260,weight_decay,GBM,exp_hl100,all,27,val_f1_macro,
GBM_exp100,test,0.6399999999999999,0.5142857142857142,0.5131295494228894,0.35646687697160884,0.4832047577974679,0.5231481481481481,0.2703349282296651,0.5112179487179487,0.7559241706161137,0.5102780108392481,0.030040351771416514,0.8214580095438496,0.29467275491915335,113,103,319,305,0.2571428571428571,0.4976190476190476,1.0,840,weight_decay,GBM,exp_hl100,all,27,val_f1_macro,
GBM_exp100_th05,test,0.5,0.5261904761904762,0.5260323363341572,0.508641975308642,0.525585355470413,0.5255102040816326,0.49282296650717705,0.5267857142857143,0.5592417061611374,0.5102780108392481,0.05218016741717885,0.8214580095438496,0.29467275491915335,206,186,236,212,0.4666666666666667,0.4976190476190476,1.0,840,weight_decay,GBM,exp_hl100,all,27,fixed_0.5,
GBM_exp100,test_selective,0.5,0.5152284263959391,0.5148949877593094,0.49604221635883905,0.5145247756610821,0.5108695652173914,0.48205128205128206,0.5190476190476191,0.5477386934673367,0.5085878108491173,0.029853512135771632,0.8303254106097994,0.29782075601749436,188,180,218,202,0.467005076142132,0.4949238578680203,0.9380952380952381,788,weight_decay,GBM,exp_hl100,all,27,selective_fixed_0.5,0.02
GBM_exp100,test_selective,0.5,0.5155615696887687,0.5148690439549165,0.4943502824858757,0.5147076087754053,0.5043227665706052,0.48476454293628807,0.5255102040816326,0.544973544973545,0.5069325360184086,0.029785491499515645,0.8392972590534831,0.30092984440746223,175,172,206,186,0.469553450608931,0.4884979702300406,0.8797619047619047,739,weight_decay,GBM,exp_hl100,all,27,selective_fixed_0.5,0.04
GBM_exp100,test_selective,0.5,0.5125184094256259,0.5120293704108734,0.4946564885496183,0.5119086141183369,0.5031055900621118,0.4864864864864865,0.5210084033613446,0.5375722543352601,0.5060754396014512,0.024086351279349848,0.852566034847638,0.3056073421734892,162,160,186,171,0.4742268041237113,0.49042709867452133,0.8083333333333333,679,weight_decay,GBM,exp_hl100,all,27,selective_fixed_0.5,0.06
GBM_exp100,test_selective,0.5,0.5104333868378812,0.5100296870490248,0.4925124792013311,0.5098221310735338,0.5034013605442177,0.4820846905537459,0.5167173252279635,0.5379746835443038,0.5053498536263555,0.020089008045826785,0.866924299115592,0.31062137689924385,148,146,170,159,0.47191011235955055,0.492776886035313,0.7416666666666667,623,weight_decay,GBM,exp_hl100,all,27,selective_fixed_0.5,0.08
GBM_exp100,test_selective,0.5,0.5086805555555556,0.5086805555555556,0.4919210053859964,0.5081453766425781,0.5092936802973977,0.4756944444444444,0.50814332247557,0.5416666666666666,0.5058232060185185,0.017399015563710683,0.8806757376191571,0.3153602702996134,137,132,156,151,0.4670138888888889,0.5,0.6857142857142857,576,weight_decay,GBM,exp_hl100,all,27,selective_fixed_0.5,0.1
GBM_exp100,test_selective,0.5,0.5141776937618148,0.5145452726077137,0.49706457925636005,0.5136145565386006,0.5204918032786885,0.4756554307116105,0.5087719298245614,0.5534351145038168,0.5049746976584613,0.029177010659289414,0.8932747789377172,0.31917482730446267,127,117,145,140,0.4612476370510397,0.504725897920605,0.6297619047619047,529,weight_decay,GBM,exp_hl100,all,27,selective_fixed_0.5,0.12
GBM_exp100,test_selective,0.5,0.5190156599552572,0.5200372506608988,0.4988344988344988,0.5182344537183247,0.5323383084577115,0.4692982456140351,0.508130081300813,0.5707762557077626,0.5016622606745174,0.04027096396746681,0.9215566792272701,0.32780579946990906,107,94,125,121,0.44966442953020136,0.5100671140939598,0.5321428571428571,447,weight_decay,GBM,exp_hl100,all,27,selective_fixed_0.5,0.15
