feature_1,feature_2,spearman_r,abs_r
gdelt_events_log1p,gdelt_volume_lag1_log1p,0.889023329974792,0.889023329974792
gdelt_tone_7d,gdelt_tone_lag1,0.8494361992479543,0.8494361992479543
fatalities_log1p,fatalities_7d_log1p,0.7878929081975113,0.7878929081975113
sp500_return,vix_return_slog1p,-0.7798054625368132,0.7798054625368132
gdelt_tone_7d,gdelt_tone_30d,0.7684734081851835,0.7684734081851835
conflict_event_count_log1p,conflict_intensity_7d_log1p,0.755168278832236,0.755168278832236
gdelt_goldstein,gdelt_goldstein_7d,0.7482560670383657,0.7482560670383657
gdelt_tone_7d,gdelt_goldstein_7d,0.7020425147661962,0.7020425147661962
gdelt_tone_30d,gdelt_tone_lag1,0.633283431467848,0.633283431467848
gdelt_goldstein_7d,gdelt_tone_lag1,0.5884466945822774,0.5884466945822774
gdelt_goldstein,gdelt_tone_7d,0.5423601365727873,0.5423601365727873
gdelt_goldstein,gdelt_tone_lag1,0.541525443577305,0.541525443577305
fatalities_7d_log1p,vix_lag1_log1p,-0.5248482247200653,0.5248482247200653
conflict_event_count_log1p,fatalities_log1p,0.512343991617115,0.512343991617115
gdelt_events_log1p,vix_lag1_log1p,-0.5019689064350047,0.5019689064350047
gdelt_volume_lag1_log1p,vix_lag1_log1p,-0.4946438415120197,0.4946438415120197
gdelt_tone_30d,gdelt_goldstein_7d,0.49131450372697516,0.49131450372697516
fatalities_7d_log1p,gdelt_volume_lag1_log1p,0.4653674192131798,0.4653674192131798
gdelt_events_log1p,fatalities_7d_log1p,0.4535813235782202,0.4535813235782202
gdelt_tone_7d,gdelt_volume_lag1_log1p,-0.45192931713448226,0.45192931713448226
inventory_zscore,gdelt_volume_lag1_log1p,0.4379349049750987,0.4379349049750987
gdelt_tone_30d,gdelt_volume_lag1_log1p,-0.4362528359165788,0.4362528359165788
inventory_zscore,gdelt_events_log1p,0.43580942815979196,0.43580942815979196
inventory_change_pct,inventory_zscore,0.43468260097321243,0.43468260097321243
yield_spread,conflict_intensity_7d_log1p,-0.4111105178647134,0.4111105178647134
