feature,up_ks,up_p,down_ks,down_p
conflict_intensity_7d_log1p,0.4084486238983802,1.7990512490431512e-45,0.44473971077415403,1.1655854272088068e-53
gdelt_goldstein_7d,0.3571665152335725,1.2698772005355226e-34,0.31006161605292337,7.991521810891548e-26
gdelt_goldstein,0.30924353574641594,6.420542701079093e-26,0.29287742756487933,4.7594594152602476e-23
conflict_event_count_log1p,0.29998299175099924,2.1574832976858314e-24,0.3653897437576903,6.21771941761949e-36
fatalities_7d_log1p,0.25336024814140123,1.8753220840491613e-17,0.20727228494032554,1.0640643408644288e-11
inventory_zscore,0.24303221272843645,4.4017540931325825e-16,0.2299888183472675,2.5479134848216577e-14
fatalities_log1p,0.21312678754459072,1.9067847800490317e-12,0.14742003246889956,4.01679810727685e-06
gdelt_events_log1p,0.19014103419105635,5.524581396495001e-10,0.17564785747369505,1.6369281562063224e-08
inventory_change_pct,0.18376965459826963,2.369227141395857e-09,0.12327655174672388,0.00020919840768038653
gdelt_volume_lag1_log1p,0.1735288983578088,2.2050298168077156e-08,0.17861403648306612,8.648224549905495e-09
production_change_pct_slog1p,0.13103960684089677,5.781765316460577e-05,0.21179874896487838,3.3546998890135173e-12
month_cos,0.0712242806182051,0.0894294723394505,0.04349148276200858,0.6068823987370269
oil_return,0.06859247787808666,0.11177368049821497,0.06138212713398802,0.2008921602643777
oil_return_lag2,0.06050460789272271,0.2106931117637713,0.07144327533533262,0.08980582410356344
vix_return_slog1p,0.04968199050223569,0.4313165108768495,0.05737497836186448,0.2676585880445679
oil_return_lag1,0.04836608913217647,0.46526887968995795,0.06198565567059506,0.19221985292844257
day_of_week_cos,0.0427488911069237,0.6228098767335242,0.04509621367717306,0.5606704012421254
sp500_return,0.039727688981787745,0.7109164321057723,0.047374650865759343,0.49675102270894583
month_sin,0.03928681726426791,0.7235804698523193,0.027362299584079947,0.9733640377085012
day_of_week_sin,0.030431338146369412,0.9334659821503539,0.0324969706610275,0.898460351267374
