feature,MI
day_of_week_sin,0.01906455023125453
oil_return_lag2,0.012835456800254885
inventory_zscore,0.011606963327860598
vix_return_slog1p,0.011564847923602795
gdelt_volume_lag1_log1p,0.009399636528367505
gdelt_tone_30d,0.008703861651123468
fatalities_7d_log1p,0.008611138357559778
yield_spread,0.005718914573822342
gdelt_tone_7d,0.004882940540023029
production_change_pct_slog1p,0.004567616064051538
sp500_return,0.0037735394133804334
gdelt_goldstein,0.003728783925165846
fatalities_log1p,0.002603748909320913
conflict_intensity_7d_log1p,0.0
net_imports_change_pct_slog1p,0.0
vix_lag1_log1p,0.0
oil_return,0.0
usd_return,0.0
gdelt_events_log1p,0.0
conflict_event_count_log1p,0.0
month_cos,0.0
gdelt_goldstein_7d,0.0
day_of_week_cos,0.0
inventory_change_pct,0.0
gdelt_tone_lag1,0.0
oil_return_lag1,0.0
month_sin,0.0
