,feature,VIF,status
28,gdelt_volume_lag1,1333.51,CRITICAL
1,cpi_lag,1037.67,CRITICAL
23,geopolitical_stress_index,831.79,CRITICAL
6,gdelt_tone_7d,182.25,CRITICAL
27,gdelt_tone_lag1,85.06,CRITICAL
7,gdelt_tone_30d,59.65,CRITICAL
5,gdelt_events,45.68,CRITICAL
21,conflict_intensity_7d,29.1,CRITICAL
2,unemployment_lag,17.67,CRITICAL
26,vix_lag1,16.23,CRITICAL
22,fatalities_7d,15.08,CRITICAL
4,gdelt_goldstein,12.16,CRITICAL
9,conflict_event_count,9.64,WARNING
0,yield_spread,9.45,WARNING
17,real_rate,7.85,WARNING
10,fatalities,7.68,WARNING
16,fed_rate_regime,7.46,WARNING
14,oil_volatility_7d,6.7,WARNING
30,month,5.93,WARNING
29,day_of_week,5.34,WARNING
8,gdelt_goldstein_7d,4.91,OK
18,inventory_zscore,2.7,OK
13,vix_return,2.13,OK
12,sp500_return,2.1,OK
3,inventory_change_pct,1.44,OK
20,net_imports_change_pct,1.05,OK
19,production_change_pct,1.04,OK
25,oil_return_lag2,1.04,OK
15,fed_rate_change,1.04,OK
24,oil_return_lag1,1.04,OK
11,usd_return,1.03,OK
