feature,abs_rpb,MI,ks_stat,abs_rpb_n,MI_n,ks_stat_n,score
day_of_week,0.08871625893641329,0.014139787197664067,0.07997067126421073,1.0,0.7309043955374669,0.928536964563341,0.886480453366936
gdelt_volume_7d,0.049670978079012496,0.019345604273273587,0.061907088116413655,0.5598858504010387,1.0,0.7188012652120302,0.759562371871023
gdelt_tone,0.0439399745169464,0.01449593542253691,0.08612545791520339,0.4952866029713905,0.7493141706906199,1.0,0.7482002578873367
sp500_close,0.06130004236720957,0.008839806681927964,0.07092179588640471,0.6909673954032024,0.45694135768818384,0.8234707553744706,0.6571265028219523
inventory_zscore,0.0365058636317878,0.011606963327860598,0.06665453870497379,0.4114901154471933,0.5999793629551233,0.7739237656141102,0.595131081338809
gdelt_volume_lag1,0.04039800182015316,0.010057324994650063,0.059039779406536354,0.45536187283447244,0.5198764976571187,0.6855090333994531,0.5535824679636815
conflict_intensity_7d,0.07193485012136576,0.0,0.06951723017055177,0.8108417891350054,0.0,0.80716238674744,0.5393347252941485
inventory_change_pct,0.05388492669768689,0.0,0.08597031850674626,0.6073850198790337,0.0,0.9981986811772905,0.5351945670187748
conflict_event_count,0.05344016885367221,0.004090923930718748,0.06686508504502275,0.6023717579432092,0.21146529583314475,0.7763684125877875,0.5300684887880472
fatalities,0.03143722720116707,0.00942071804326794,0.06084973917186953,0.3543569981202596,0.48696943813137367,0.7065244196643972,0.5159502853053435
gdelt_goldstein,0.04650419331989346,0.003771083636621597,0.06566829532263918,0.524190197799312,0.19493232588404794,0.7624725245268857,0.4938650160700819
net_imports_weekly,0.04975920780118723,0.0,0.07144446794108765,0.5608803662116971,0.0,0.8295394842652656,0.4634732834923209
gdelt_goldstein_7d,0.051351629291666964,0.0,0.06527213576175758,0.578829967666613,0.0,0.7578727282474669,0.4455675653046933
gdelt_tone_30d,0.01817762621875736,0.008703861651123468,0.05502554721270814,0.2048962212415431,0.44991417834117803,0.6388999088618453,0.4312367694815222
gdelt_tone_7d,0.03286871387317462,0.004882940540023029,0.052857289289747776,0.3704925598444477,0.25240568715493306,0.6137243338873103,0.4122075269622303
usd_close,0.04561272516241247,0.0,0.057596428838569136,0.5141416659048377,0.0,0.6687503350667453,0.3942973336571944
oil_return_lag2,0.010832427594127884,0.00906687344988466,0.04406143889954446,0.12210194302593334,0.46867874075201477,0.5115959899211923,0.3674588912330468
fatalities_7d,0.013843118571870728,0.005706829903303401,0.05585572773772575,0.15603812353936924,0.29499362349655434,0.6485391089905109,0.36652361867547817
oil_return,0.040603284142163985,0.0,0.0506640982475711,0.4576757927908805,0.0,0.58825926124484,0.3486450180119068
gdelt_tone_lag1,0.03562452557570362,0.0,0.05385461405840075,0.40155576895140754,0.0,0.6253042406047284,0.3422866698520453
gdelt_events,0.035951339242199655,0.0,0.05106302815503229,0.4052395769750335,0.0,0.5928912239318072,0.33271026696894684
yield_spread,0.006942646379358324,0.007653347915968389,0.0441039175470982,0.0782567531880984,0.39561172697725816,0.5120892081702675,0.3286525627785413
vix_return,0.010066057694379555,0.012016430309623516,0.021021389845941027,0.11346350505598221,0.6211452555257992,0.24407870047713504,0.3262291536863055
vix_close,0.003870735941968645,0.012422129166437035,0.024723496325135264,0.04363051359889923,0.6421163687090665,0.28706374309762506,0.3242702084685303
crude_production_weekly,0.02843901489864276,0.0,0.05549004198921966,0.3205614758736187,0.0,0.6442931431941243,0.32161820635591437
gdelt_volume_log,0.028920931103385367,0.0,0.05382691059260484,0.3259935828010312,0.0,0.6249825765292446,0.31699205311009193
net_imports_change_pct,0.016962201663837995,0.0,0.060807260524315794,0.19119608814879724,0.0,0.7060312014153219,0.2990757631880397
recession_signal,0.014887600267873842,0.012450055941744864,0.00725830803852998,0.16781140736045258,0.6435599408463509,0.08427598777676513,0.2985491119945229
gdelt_volume,0.019106740163888337,0.0,0.05382691059260484,0.21536909235073753,0.0,0.6249825765292446,0.28011722295999403
sp500_return,0.003082844464008097,0.006233262496580849,0.033537815692535854,0.03474948674535186,0.3222056240027741,0.3894065297807323,0.2487872135096194
oil_return_lag1,0.024260586933139587,0.0,0.039795105166973405,0.27346269132615453,0.0,0.46205972229668146,0.24517413787427866
production_change_pct,0.011409247541576514,0.0,0.04832130849009647,0.12860379459591512,0.0,0.5610572025947569,0.22988699906355733
usd_return,0.0026234765747986987,0.0,0.05034181459547861,0.029571541972695847,0.0,0.584517235833378,0.20469625926869128
month,0.018132201900451,0.0,0.034134363656007916,0.2043842032771819,0.0,0.3963330295394843,0.2002390776055554
wti_fred,0.011343221432725849,0.0,0.036225975323599564,0.12785955549428676,0.0,0.4206186672385139,0.1828260742442669
oil_close,0.003362086254470051,0.0,0.04163646219354195,0.03789706976800951,0.0,0.48343966118050713,0.1737789103161722
crude_inventory_weekly,0.0019888903310912053,0.0,0.037448621614059326,0.022418555008239555,0.0,0.43481477510320055,0.1524111100371467
gdelt_tone_spike,0.027776748416274012,0.0,0.0107461743822358,0.3130964802763244,0.0,0.12477349488018014,0.1459566583855015
media_attention_spike,0.010475883843428365,0.004864737797042995,0.0051611556777791424,0.11808302073396576,0.2514647631743272,0.059926017262638714,0.1431579337236439
vix_lag1,0.00342985671660131,0.0,0.022623573617804833,0.038660971029669255,0.0,0.26268160617595027,0.1004475257352065
gdelt_data_imputed,0.021339283340646182,0.0,0.0009354536950420954,0.2405340756753613,0.0,0.010861523615504208,0.08379853309695517
