feature,group,abs_rpb,rpb,p,MI,ks_stat,ks_p,sig,cohens_d,abs_d,train_test_ks,train_test_ks_p,signal_score,stability_score,research_score,risk,risk_reason
day_of_week_sin,Calendar,0.06740814377677164,0.06740814377677164,0.002088040319695406,0.01906455023125453,0.07997067126421073,0.0023891180546016786,True,0.13502595985122834,0.13502595985122834,0.00019212295869356388,1.0,0.8858858238908688,0.9996153846153846,0.9200046921082234,low,Calendar cyclical encoding.
inventory_change_pct,Supply,0.05388492669768689,-0.05388492669768689,0.013931608406523181,0.0,0.08597031850674626,0.0008419398726882815,True,-0.10796486799680266,0.10796486799680266,0.15201729106628242,1.5427025993334267e-12,0.5724582304894181,0.6956730769230769,0.6094226844195157,low,No obvious future or publication-timing risk in the feature name.
conflict_event_count_log1p,Conflict,0.08355455666063069,0.08355455666063069,0.00013514342017738397,0.0,0.06686508504502275,0.017947543075452918,True,0.16740664439268332,0.16740664439268332,0.32846164402360367,9.920580581307515e-58,0.6944423558224218,0.34244505494505495,0.5888431655592117,low,Backward-looking or deterministic transformed feature.
fatalities_log1p,Conflict,0.058865100706735105,0.058865100706735105,0.007216846480201083,0.002603748909320913,0.06084973917186953,0.04015528240309848,True,0.11779431926444042,0.11779431926444042,0.17548373816385343,1.4039990878695583e-16,0.5631319017193687,0.648695054945055,0.5888008476870745,low,Backward-looking or deterministic transformed feature.
gdelt_volume_lag1_log1p,GDELT,0.039968736038300826,-0.039968736038300826,0.06824823067601146,0.009399636528367505,0.059039779406536354,0.05041649908748118,False,-0.07999541880193535,0.07999541880193535,0.16740085083024564,4.034198180960258e-15,0.5339986530664618,0.6648763736263736,0.5732619692344353,low,Backward-looking or deterministic transformed feature.
inventory_zscore,Supply,0.0365058636317878,-0.0365058636317878,0.09585720538536126,0.011606963327860598,0.06665453870497379,0.01848478580270724,True,-0.07306529336945136,0.07306529336945136,0.2357966241251544,1.077267755172558e-29,0.564377308074042,0.5279532967032967,0.5534501046628184,low,Backward-looking or deterministic transformed feature.
oil_return,Market,0.040603284142163985,-0.040603284142163985,0.06397759460024874,0.0,0.0506640982475711,0.13215266203718412,False,-0.08136992518385955,0.08136992518385955,0.04716618635926993,0.13414361949083434,0.39033292214517806,0.9055769230769231,0.5449061224247016,medium,Same-day return feature; safe only for end-of-day T -> T+1 setup.
oil_return_lag2,Market,0.010832427594127884,0.010832427594127884,0.6213133644896807,0.012835456800254885,0.04406143889954446,0.2544628382121858,False,0.02166565621842391,0.02166565621842391,0.04812680115273775,0.1201316624420392,0.36121163139543566,0.9036538461538461,0.5239442958229588,low,Backward-looking or deterministic transformed feature.
month_sin,Calendar,0.03859731823955951,0.03859731823955951,0.07828020615333801,0.0,0.03813197377035858,0.4215518891653757,False,0.07724332799354036,0.07724332799354036,0.029312474269246602,0.6687191302704897,0.3417252506026919,0.9413186813186813,0.5216032798174887,low,Calendar cyclical encoding.
conflict_intensity_7d_log1p,Conflict,0.07916340578417011,0.07916340578417011,0.00029959705219037146,0.0,0.06951723017055177,0.012285324480146374,True,0.1584610718233554,0.1584610718233554,0.42134623301770274,5.646610817149416e-96,0.6756571214344916,0.15649725274725268,0.51990916082832,low,Backward-looking or deterministic transformed feature.
fatalities_7d_log1p,Conflict,0.031873686535309774,0.031873686535309774,0.14598555868509958,0.008611138357559778,0.05585572773772575,0.0739984656343825,False,0.06371855258857732,0.06371855258857732,0.22737752161383284,1.2628358758151457e-27,0.4658714180150638,0.5448076923076923,0.48955230030285235,low,Backward-looking or deterministic transformed feature.
gdelt_goldstein,GDELT,0.04650419331989346,0.04650419331989346,0.03385364771165253,0.003728783925165846,0.06566829532263918,0.021190788489488036,True,0.09308013836231536,0.09308013836231536,0.29945107726087555,6.697874357479348e-48,0.5180051919105286,0.400521978021978,0.48276022774396343,low,No obvious future or publication-timing risk in the feature name.
