feature,ks_stat,ks_p,sig
inventory_change_pct,0.08597031850674626,0.0008419398726882815,True
day_of_week_sin,0.07997067126421073,0.0023891180546016786,True
conflict_intensity_7d_log1p,0.06951723017055177,0.012285324480146374,True
conflict_event_count_log1p,0.06686508504502275,0.017947543075452918,True
inventory_zscore,0.06665453870497379,0.01848478580270724,True
gdelt_goldstein,0.06566829532263918,0.021190788489488036,True
gdelt_goldstein_7d,0.06527213576175758,0.02237968624272965,True
day_of_week_cos,0.06308263851502036,0.030042372755009594,True
fatalities_log1p,0.06084973917186953,0.04015528240309848,True
net_imports_change_pct_slog1p,0.060807260524315794,0.04037466193389059,True
gdelt_volume_lag1_log1p,0.059039779406536354,0.05041649908748118,False
fatalities_7d_log1p,0.05585572773772575,0.0739984656343825,False
gdelt_tone_30d,0.05502554721270814,0.08149332942315289,False
gdelt_tone_lag1,0.05385461405840075,0.09315726975195729,False
gdelt_tone_7d,0.052857289289747776,0.10416436093987301,False
gdelt_events_log1p,0.05106302815503229,0.1266537618052279,False
oil_return,0.0506640982475711,0.13215266203718412,False
usd_return,0.05034181459547861,0.13676468242584397,False
production_change_pct_slog1p,0.04832130849009647,0.1685544711334637,False
yield_spread,0.0441039175470982,0.2534760937169017,False
oil_return_lag2,0.04406143889954446,0.2544628382121858,False
month_cos,0.042450020639082015,0.29427638214945134,False
oil_return_lag1,0.039795105166973405,0.36903084478563686,False
month_sin,0.03813197377035858,0.4215518891653757,False
sp500_return,0.033537815692535854,0.5857020756731537,False
vix_lag1_log1p,0.022623573617804833,0.9450317669080768,False
vix_return_slog1p,0.021021389845941027,0.9704131315686588,False
