feature,mw_u,mw_p,sig
day_of_week_sin,585181.0,0.0011319760725943613,True
conflict_intensity_7d_log1p,584679.5,0.0016152544121613,True
conflict_event_count_log1p,583818.0,0.0019990886062227105,True
inventory_change_pct,502239.0,0.004238754492391602,True
fatalities_log1p,573747.0,0.018484782947495955,True
gdelt_goldstein_7d,573714.0,0.018605774243784987,True
gdelt_tone_lag1,573213.5,0.02051291313695248,True
gdelt_tone_7d,572438.0,0.023804610407965814,True
gdelt_tone_30d,571316.0,0.02937388713560661,True
gdelt_goldstein,570010.0,0.03723524118266614,True
gdelt_volume_lag1_log1p,513776.5,0.043560313629546786,True
month_sin,567801.5,0.05338117911540613,False
inventory_zscore,517390.0,0.07930437334268792,False
oil_return_lag1,518256.5,0.09072387548544722,False
oil_return,520797.5,0.13200284476634971,False
gdelt_events_log1p,521502.5,0.1457301311184762,False
production_change_pct_slog1p,521863.5,0.15069515740238287,False
fatalities_7d_log1p,559521.5,0.1874473817218124,False
net_imports_change_pct_slog1p,523781.5,0.1975515828925023,False
day_of_week_cos,557471.0,0.2329844197338773,False
sp500_return,554831.0,0.32902773634526883,False
yield_spread,532989.5,0.5372577730318842,False
month_cos,533330.0,0.5523921112422283,False
usd_return,538023.0,0.8027263027673135,False
vix_return_slog1p,538111.5,0.8077238337131754,False
vix_lag1_log1p,543221.5,0.8971343063080639,False
oil_return_lag2,540310.5,0.9338758515037678,False
