feature,rpb,p,abs_rpb
conflict_event_count_log1p,0.08355455666063069,0.00013514342017738397,0.08355455666063069
conflict_intensity_7d_log1p,0.07916340578417011,0.00029959705219037146,0.07916340578417011
day_of_week_sin,0.06740814377677164,0.002088040319695406,0.06740814377677164
fatalities_log1p,0.058865100706735105,0.007216846480201083,0.058865100706735105
inventory_change_pct,-0.05388492669768689,0.013931608406523181,0.05388492669768689
gdelt_goldstein_7d,0.051351629291666964,0.019116097658624497,0.051351629291666964
gdelt_goldstein,0.04650419331989346,0.03385364771165253,0.04650419331989346
oil_return,-0.040603284142163985,0.06397759460024874,0.040603284142163985
gdelt_volume_lag1_log1p,-0.039968736038300826,0.06824823067601146,0.039968736038300826
month_sin,0.03859731823955951,0.07828020615333801,0.03859731823955951
inventory_zscore,-0.0365058636317878,0.09585720538536126,0.0365058636317878
gdelt_tone_lag1,0.03562452557570362,0.10415214462030516,0.03562452557570362
gdelt_events_log1p,-0.034591697191081856,0.11458704005531914,0.034591697191081856
gdelt_tone_7d,0.03286871387317462,0.13380388486033395,0.03286871387317462
fatalities_7d_log1p,0.031873686535309774,0.14598555868509958,0.031873686535309774
oil_return_lag1,-0.024260586933139587,0.2685175750388463,0.024260586933139587
month_cos,-0.021556447846362993,0.32554771478938305,0.021556447846362993
gdelt_tone_30d,0.01817762621875736,0.4071065794620013,0.01817762621875736
production_change_pct_slog1p,-0.011824006010524368,0.5897408016941063,0.011824006010524368
oil_return_lag2,0.010832427594127884,0.6213133644896807,0.010832427594127884
vix_return_slog1p,-0.008169275847139685,0.7094925181468118,0.008169275847139685
yield_spread,-0.006942646379358324,0.7515477792209754,0.006942646379358324
net_imports_change_pct_slog1p,0.006560275870539924,0.7648165384778738,0.006560275870539924
day_of_week_cos,0.005814483522976807,0.7908926635093106,0.005814483522976807
sp500_return,0.003082844464008097,0.888199555863489,0.003082844464008097
usd_return,-0.0026234765747986987,0.9047724777392383,0.0026234765747986987
vix_lag1_log1p,-0.0008145555707306302,0.9703693990385835,0.0008145555707306302
