feature,MI,abs_sp,MI_n,abs_sp_n,mix_score,rank_spearman,rank_mi,rank_mi_spearman
day_of_week_sin,0.01906455023125453,0.07136496357044132,1.0,1.0,1.0,1,1,1
inventory_zscore,0.011606963327860598,0.03846669900883953,0.6088243985337812,0.5390137832953658,0.5739190909145735,13,3,2
gdelt_tone_30d,0.00858219284853412,0.04775460366459268,0.4501649786872195,0.6691603452926328,0.5596626619899261,9,7,3
gdelt_volume_lag1_log1p,0.009399636528367505,0.04424425984174779,0.4930426584602919,0.619971728817267,0.5565071936387794,11,5,4
gdelt_tone_7d,0.005358280388561898,0.04954854910065773,0.28105988987757513,0.6942979667011314,0.4876789282893533,8,9,5
conflict_intensity_7d_log1p,0.0,0.0691213096147971,0.0,0.9685608477410682,0.4842804238705341,2,14,6
conflict_event_count_log1p,0.0,0.06774531043166582,0.0,0.9492796891123934,0.4746398445561967,3,15,7
inventory_change_pct,0.0,0.06269153267093348,0.0,0.8784637381486692,0.4392318690743346,4,16,8
fatalities_log1p,0.002603748909320913,0.051641874453734964,0.13657541760687922,0.7236306426859094,0.4301030301463943,5,13,9
fatalities_7d_log1p,0.008611138357559778,0.02889660173802885,0.4516832683229332,0.40491300341667297,0.4282981358698031,18,6,10
gdelt_goldstein,0.003728783925165846,0.04566646506103985,0.1955873010344014,0.6399003485227652,0.4177438247785833,10,12,11
gdelt_goldstein_7d,0.0,0.05158872234167289,0.0,0.7228858498715809,0.36144292493579044,6,17,12
gdelt_tone_lag1,0.0,0.05078848319114651,0.0,0.7116725161782694,0.3558362580891347,7,18,13
oil_return_lag2,0.012835456800254885,0.0018195872882892155,0.6732630271661152,0.02549692730513592,0.3493799772356255,27,2,14
vix_return_slog1p,0.011564847923602795,0.005335614459939551,0.6066153034464626,0.0747651815820377,0.3406902425142502,25,4,15
production_change_pct_slog1p,0.004567616064051538,0.031503304102852944,0.2395868776680272,0.44143936361373426,0.34051312064088074,17,10,16
month_sin,0.0,0.042348677739757715,0.0,0.5934099258378677,0.29670496291893383,12,19,17
oil_return_lag1,0.0,0.03708248540422098,0.0,0.5196175202642461,0.25980876013212306,14,20,18
sp500_return,0.0037735394133804334,0.021397497448756183,0.19793487743519236,0.2998319676522447,0.24888342254371854,21,11,19
yield_spread,0.005718914573822342,0.01352540255790388,0.2999763699878281,0.18952440919490599,0.24475038959136705,22,8,20
oil_return,0.0,0.03301959322536079,0.0,0.462686331966926,0.231343165983463,15,21,21
gdelt_events_log1p,0.0,0.0318912996234242,0.0,0.44687614240769075,0.22343807120384537,16,22,22
net_imports_change_pct_slog1p,0.0,0.028247526590498312,0.0,0.39581785202785646,0.19790892601392823,19,23,23
day_of_week_cos,0.0,0.0261463471973337,0.0,0.3663751214771622,0.1831875607385811,20,24,24
month_cos,0.0,0.013025917361102047,0.0,0.18252538373742344,0.09126269186871172,23,25,25
usd_return,0.0,0.005477156128348827,0.0,0.07674853113240307,0.038374265566201535,24,26,26
vix_lag1_log1p,0.0,0.0028348193902169,0.0,0.03972284505433497,0.019861422527167483,26,27,27
