Case,Ranking,Subset,N,CV_Acc
MI_SPEARMAN_TOP_25,mi_spearman,TOP_25,25,0.5463976945244957
MI_TOP_25,mi,TOP_25,25,0.5463976945244957
ALL_27,all,ALL_27,27,0.5435158501440923
SPEARMAN_TOP_22,spearman,TOP_22,22,0.5371757925072046
SPEARMAN_TOP_20,spearman,TOP_20,20,0.5285302593659942
MI_TOP_8,mi,TOP_8,8,0.5285302593659942
MI_TOP_5,mi,TOP_5,5,0.5279538904899136
MI_SPEARMAN_TOP_22,mi_spearman,TOP_22,22,0.5273775216138329
MI_SPEARMAN_TOP_18,mi_spearman,TOP_18,18,0.5273775216138329
SPEARMAN_TOP_25,spearman,TOP_25,25,0.5273775216138329
MI_TOP_22,mi,TOP_22,22,0.5273775216138329
MI_TOP_10,mi,TOP_10,10,0.5244956772334295
SPEARMAN_TOP_8,spearman,TOP_8,8,0.5239193083573488
SPEARMAN_TOP_18,spearman,TOP_18,18,0.5233429394812681
MI_TOP_18,mi,TOP_18,18,0.5210374639769453
MI_TOP_20,mi,TOP_20,20,0.5204610951008645
MI_SPEARMAN_TOP_20,mi_spearman,TOP_20,20,0.5204610951008645
MI_SPEARMAN_TOP_15,mi_spearman,TOP_15,15,0.5193083573487032
MI_SPEARMAN_TOP_12,mi_spearman,TOP_12,12,0.5187319884726225
MI_TOP_12,mi,TOP_12,12,0.5181556195965418
SPEARMAN_TOP_5,spearman,TOP_5,5,0.5135446685878963
SPEARMAN_TOP_12,spearman,TOP_12,12,0.5129682997118155
SPEARMAN_TOP_10,spearman,TOP_10,10,0.5077809798270894
MI_SPEARMAN_TOP_8,mi_spearman,TOP_8,8,0.5048991354466859
SPEARMAN_TOP_15,spearman,TOP_15,15,0.5037463976945245
MI_SPEARMAN_TOP_5,mi_spearman,TOP_5,5,0.5031700288184439
MI_TOP_15,mi,TOP_15,15,0.49798270893371754
MI_SPEARMAN_TOP_10,mi_spearman,TOP_10,10,0.4945244956772334
