Scheme,Model,Inner_Accuracy,Inner_F1_binary,Inner_F1_macro,Inner_AUC,Inner_Precision_UP,Inner_Recall_UP
linear_03,XGB,0.5994236311239193,0.6370757180156659,0.5950651901975434,0.6176313683648973,0.6130653266331658,0.6630434782608695
step_50pct_3x,LGBM,0.5965417867435159,0.6236559139784946,0.5944366526414212,0.6058949053080821,0.6170212765957447,0.6304347826086957
uniform,XGB,0.5850144092219021,0.5789473684210527,0.5849282296650717,0.6045278740997599,0.6265822784810127,0.5380434782608695
exp_hl500,GBM,0.5763688760806917,0.6259541984732824,0.5687910527250133,0.5820885569485196,0.5885167464114832,0.6684782608695652
exp_hl100,XGB,0.5734870317002881,0.6125654450261779,0.5691032353336017,0.5677847425980261,0.5909090909090909,0.6358695652173914
exp_hl1000,XGB,0.5706051873198847,0.6149870801033591,0.5648225302796925,0.5747532675380101,0.5862068965517241,0.6467391304347826
uniform,LGBM,0.5677233429394812,0.5901639344262295,0.5664234306277489,0.5969591891170979,0.5934065934065934,0.5869565217391305
step_30pct_3x,XGB,0.5677233429394812,0.6073298429319373,0.5632803060813532,0.5776540410776206,0.5858585858585859,0.6304347826086957
exp_hl1000,GBM,0.5648414985590778,0.5885558583106266,0.5633910790024081,0.60246065617498,0.5901639344262295,0.5869565217391305
step_50pct_3x,XGB,0.5648414985590778,0.5929919137466307,0.5627498268423556,0.5805881568418245,0.5882352941176471,0.5978260869565217
step_50pct_3x,GBM,0.5648414985590778,0.5994694960212201,0.5615644010074554,0.5733528941050947,0.5854922279792746,0.6141304347826086
linear_01,XGB,0.5648414985590778,0.6098191214470284,0.5589812219612993,0.5866897839423847,0.5812807881773399,0.6413043478260869
linear_03,LGBM,0.5648414985590778,0.628992628992629,0.5514301124057222,0.5803881034942652,0.5739910313901345,0.6956521739130435
step_50pct_2x,GBM,0.5619596541786743,0.5824175824175823,0.5609057609057608,0.5930248066150974,0.5888888888888889,0.5760869565217391
linear_05,XGB,0.5590778097982709,0.5808219178082191,0.557888162551526,0.5920578821018938,0.585635359116022,0.5760869565217391
exp_hl1000,LGBM,0.5590778097982709,0.6106870229007634,0.5511906875301159,0.5737196585756201,0.5741626794258373,0.6521739130434783
step_50pct_2x,LGBM,0.5590778097982709,0.624078624078624,0.5454887893912284,0.5964590557481995,0.5695067264573991,0.6902173913043478
uniform,GBM,0.5561959654178674,0.5523255813953488,0.5561627906976745,0.5906241664443852,0.59375,0.5163043478260869
exp_hl250,GBM,0.5561959654178674,0.5837837837837838,0.5542375709042375,0.5601493731661776,0.5806451612903226,0.5869565217391305
linear_01,GBM,0.5561959654178674,0.5904255319148937,0.5530744011775726,0.5787543344891971,0.578125,0.6032608695652174
step_30pct_3x,GBM,0.5504322766570605,0.5517241379310345,0.5504285429539565,0.587790077353961,0.5853658536585366,0.5217391304347826
linear_05,LGBM,0.5504322766570605,0.5806451612903226,0.5480865558004409,0.5954254467858096,0.574468085106383,0.5869565217391305
linear_03,GBM,0.5504322766570605,0.5916230366492147,0.5458115183246073,0.5706188316884503,0.5707070707070707,0.6141304347826086
step_50pct_2x,XGB,0.5504322766570605,0.6080402010050252,0.5405065869889991,0.5638503600960256,0.5654205607476636,0.657608695652174
exp_hl100,LGBM,0.547550432276657,0.5745257452574526,0.5457244110902648,0.556648439583889,0.572972972972973,0.5760869565217391
exp_hl500,XGB,0.547550432276657,0.6104218362282878,0.5354514679423226,0.5652840757535343,0.5616438356164384,0.6684782608695652
step_30pct_3x,LGBM,0.5446685878962536,0.6127450980392156,0.5301487727958316,0.5857562016537744,0.5580357142857143,0.6793478260869565
linear_01,LGBM,0.5417867435158501,0.5667574931880108,0.5402594805389596,0.5665510802880768,0.5683060109289617,0.5652173913043478
exp_hl100,GBM,0.5417867435158501,0.6034912718204489,0.5304145778897467,0.5518471592424647,0.5576036866359447,0.657608695652174
exp_hl250,XGB,0.5389048991354467,0.5918367346938777,0.5310177050952831,0.5492798079487864,0.5576923076923077,0.6304347826086957
linear_05,GBM,0.5360230547550432,0.5439093484419264,0.5358842929892916,0.5770205388103494,0.5680473372781065,0.5217391304347826
exp_hl250,LGBM,0.5360230547550432,0.5439093484419264,0.5358842929892916,0.5529141104294478,0.5680473372781065,0.5217391304347826
exp_hl500,LGBM,0.5302593659942363,0.5219941348973607,0.5301188804798418,0.5494131768471593,0.5668789808917197,0.483695652173913
