feature,importance
day_of_week,0.040394552
unemployment_lag,0.0402559
geopolitical_stress_index,0.032852698
net_imports_change_pct,0.03020881
net_imports_weekly,0.029551825
vix_return,0.029469071
vix_lag1,0.028756753
gdelt_tone_30d,0.028594311
fatalities_7d,0.028062178
fatalities,0.028008163
oil_volatility_7d,0.028000671
inventory_change_pct,0.026893012
conflict_event_count,0.026657742
yield_spread,0.026391078
gdelt_goldstein_7d,0.02637451
production_change_pct,0.026363257
sp500_return,0.026145242
gdelt_volume_lag1,0.026023455
inventory_zscore,0.025456157
fed_funds_rate_lag,0.025146605
gdelt_goldstein,0.0251371
month,0.025046157
real_rate,0.024967618
oil_return,0.024939897
gdelt_tone,0.024510354
oil_return_lag1,0.023147373
crude_production_weekly,0.02307152
gdelt_tone_lag1,0.022933438
gdelt_volume_log,0.0225178
usd_return,0.022124741
cpi_lag,0.022041323
cpi_yoy,0.02175881
gdelt_events,0.021540426
conflict_intensity_7d,0.02128172
oil_return_lag2,0.021053998
crude_inventory_weekly,0.020042768
gdelt_volume_7d,0.019879017
gdelt_tone_7d,0.018347135
fed_rate_change,0.016052783
fed_rate_regime,0.0
gdelt_tone_spike,0.0
recession_signal,0.0
media_attention_spike,0.0
