feature,MI,abs_sp,MI_n,abs_sp_n,mix_score,rank_spearman,rank_mi,rank_mi_spearman
geopolitical_stress_index,0.02003687282009592,0.06548561501774551,0.6698454098675929,0.7430783618951061,0.7064618858813495,5,5,1
stress_tone,0.01771913292783811,0.06949101568764236,0.5923618902567482,0.788528443836216,0.6904451670464822,2,6,2
gdelt_tone,0.017407211899584496,0.06949101568764236,0.581934171775284,0.788528443836216,0.6852313078057499,3,7,3
gdelt_volume_7d,0.020995107547780556,0.05311016788241417,0.7018798066359108,0.6026516898305687,0.6522657482332397,13,4,4
recession_signal,0.02991268212774134,0.016036958115548994,1.0,0.18197456896531158,0.5909872844826558,59,1,5
bb_width,0.024112070983685285,0.025191552241563744,0.8060818779377692,0.28585357819703694,0.5459677280674031,44,2,6
day_of_week,0.0,0.08812746861681534,0.0,1.0,0.5,1,45,7
sp500_close,0.008502639133436407,0.06137193785375751,0.28424863732132427,0.696399644934852,0.4903241411280881,8,18,8
gdelt_tone_30d,0.007953300429728749,0.05641051049541114,0.2658838948565155,0.6401013370835392,0.4529926159700274,9,19,9
macd_signal,0.01283361715828546,0.038851210428989466,0.42903598893204653,0.44085244973865484,0.43494421933535066,24,11,10
gdelt_volume_lag1,0.010278617108047783,0.04557863961976491,0.34362071124726334,0.5171899333446665,0.4304053222959649,19,16,11
gdelt_tone_7d,0.005079002926657417,0.05301448142902767,0.16979430012219116,0.6015659165196099,0.3856801083209005,14,29,12
momentum_5,0.021613166354804925,0.003263411044398746,0.7225419058881598,0.03703057736275502,0.37978624162545743,75,3,13
inventory_zscore,0.010279747905626468,0.03584967806581911,0.3436585145299599,0.4067934621122062,0.375225988321083,26,15,14
conflict_intensity_7d,0.0,0.06589526752151452,0.0,0.7477267707306101,0.37386338536530506,4,46,15
sp500_return_lag1,0.011468228138706849,0.032043048525945764,0.383390165072195,0.363598875910884,0.37349452049153953,29,14,16
conflict_event_count,0.0,0.06434307524056455,0.0,0.7301137346896113,0.36505686734480564,6,47,17
fatalities,0.0052506274540502496,0.04754729403691976,0.17553181729500483,0.5395286484814271,0.35753023288821595,18,28,18
inventory_change_pct,0.0,0.06248174583548355,0.0,0.7089928579153764,0.3544964289576882,7,48,19
cpi_lag,0.004285755367256172,0.048875985770343744,0.14327552938763444,0.5546055791396902,0.34894055426366233,17,31,20
vix_return_lag1,0.005821106802323062,0.0434226779107896,0.19460330496156025,0.4927258049314292,0.3436645549464947,21,23,21
gdelt_goldstein,0.002913754070258623,0.050427591543741046,0.09740865288560588,0.5722119599622666,0.3348103064239362,15,37,22
ma_10,0.013542048314188815,0.019083568254321052,0.45271929332039984,0.2165450631209867,0.33463217822069324,54,10,23
stress_goldstein,0.0028272912930966676,0.050427591543741046,0.09451814722005845,0.5722119599622666,0.33336505359116253,16,38,24
gdelt_goldstein_7d,0.0003562458544101865,0.05483923852006021,0.011909525628255192,0.6222717999368077,0.31709066278253145,10,43,25
usd_close,0.0,0.054423814052397136,0.0,0.6175578954733836,0.3087789477366918,11,49,26
fatalities_7d,0.010128984742309388,0.023897276174042602,0.3386184060343977,0.27116716897826376,0.30489278750633075,45,17,27
gdelt_tone_lag1,0.0,0.05335358205825496,0.0,0.6054137591338318,0.3027068795669159,12,50,28
rsi_14,0.00764074421195593,0.029469743169004598,0.25543494158518876,0.33439906571174977,0.2949170036484693,33,20,29
ma_5_10_cross,0.003314262543960833,0.04165913881026477,0.1107979060455816,0.4727145742878619,0.29175624016672175,23,35,30
cpi_yoy,0.0057803905570259495,0.030968132721026505,0.19324213496940662,0.3514015914343144,0.27232186320186047,31,24,31
vix_close,0.015662008678513306,0.0016963369538083644,0.5235909174452863,0.019248674453412037,0.2714197959493492,77,8,32
vix_return,0.014106888578931276,0.0045662137136529704,0.4716022628358156,0.051813739635563585,0.2617080012356896,74,9,33
net_imports_weekly,0.0,0.04453547358054224,0.0,0.505352919805126,0.252676459902563,20,51,34
ret_std_5,0.005857231317249578,0.025643964473242985,0.19581097048524176,0.2909871902113155,0.24339908034827865,43,22,35
oil_return_lag1,0.0,0.042799262280764104,0.0,0.485651783178505,0.2428258915892525,22,52,36
yield_spread,0.011752675221207376,0.007200240727210416,0.3928994120626789,0.08170257060846248,0.2373009913355707,69,13,37
crude_production_weekly,0.005670484259683306,0.022813043866179692,0.1895678975047322,0.25886416828074876,0.2242160328927405,47,26,38
fed_funds_rate_lag,0.0032341360913652473,0.029064527426807197,0.10811922774273307,0.3298010016965526,0.21896011471964283,34,36,39
oil_return_lag5,0.012681288987926198,0.0005682611181841977,0.4239435612550917,0.006448172483599166,0.21519586686934544,79,12,40
ret_mean_20,0.0,0.03677884377084254,0.0,0.41733689107490013,0.20866844553745006,25,53,41
ma_20_50_cross,0.0057700647825496,0.019121167401279764,0.19289693775732603,0.21697170815628433,0.2049343229568052,52,25,42
momentum_20,0.0,0.035743919451854296,0.0,0.4055933979820919,0.20279669899104594,27,54,43
price_vs_ma50,0.002188471887460075,0.028595974854824083,0.07316200794413093,0.3244842420149553,0.1988231249795431,35,39,44
sp500_return,0.0041103163358116035,0.0227679814346111,0.13741049091681592,0.25835283586333274,0.19788166339007435,48,33,45
macd,0.0,0.034447955737381054,0.0,0.3908878386960515,0.19544391934802574,28,55,46
gdelt_events,0.0,0.03165038888329306,0.0,0.3591432884667465,0.17957164423337324,30,56,47
oil_return,0.0,0.030808686633453604,0.0,0.349592324810917,0.1747961624054585,32,57,48
ma_10_20_cross,0.0,0.028142089158185595,0.0,0.3193339102992899,0.15966695514964496,36,58,49
gdelt_volume,0.0,0.027807821638297144,0.0,0.3155409099427056,0.1577704549713528,37,59,50
gdelt_volume_log,0.0,0.027807821638297144,0.0,0.3155409099427056,0.1577704549713528,38,60,51
stress_volume,0.0,0.027807821638297144,0.0,0.3155409099427056,0.1577704549713528,39,61,52
production_change_pct,0.0,0.027767595395467214,0.0,0.3150844547254925,0.15754222736274626,40,62,53
net_imports_change_pct,0.0,0.02760729622424779,0.0,0.3132655079914564,0.1566327539957282,41,63,54
real_rate,0.0,0.027110957277820452,0.0,0.3076334507655141,0.15381672538275706,42,64,55
gdelt_vol_momentum,0.005599261299055858,0.010536419394540687,0.18718686860457234,0.11955885673232948,0.1533728626684509,64,27,56
ma_50,0.0042129720896815215,0.012182393945807696,0.14084233809894187,0.1382360589384183,0.13953919851868007,63,32,57
month,0.0,0.02341472665861595,0.0,0.2656915831819122,0.1328457915909561,46,65,58
bb_lower,0.0009773416542593338,0.020382049881114594,0.03267315348338278,0.23127919366136834,0.13197617357237557,51,41,59
oil_return_lag2,0.007321838844347894,0.0012624309256951346,0.2447737321942636,0.014325056029741151,0.12954939411200236,78,21,60
oil_return_lag3,0.0,0.02237625240504049,0.0,0.25390780827183485,0.12695390413591742,49,66,61
gdelt_data_imputed,0.0,0.021522356096585503,0.0,0.24421847619572823,0.12210923809786411,50,67,62
ma_5,0.00011441827434044427,0.019026492278199608,0.003825075727138876,0.21589741061244122,0.10986124316979005,55,44,63
wti_fred,0.0,0.019116307448158162,0.0,0.21691656129687853,0.10845828064843926,53,68,64
ma_20,0.0,0.017792640695046606,0.0,0.2018966500945387,0.10094832504726935,56,69,65
ret_mean_5,0.004661618434518733,0.002917596899617707,0.15584087092596413,0.03310655514574725,0.0944737130358557,76,30,66
crude_inventory_weekly,0.0,0.016174412174231167,0.0,0.18353428764144686,0.09176714382072343,57,70,67
macd_cross,0.0,0.016147277844999215,0.0,0.18322638898444657,0.09161319449222328,58,71,68
ret_std_20,0.0,0.01601153005095149,0.0,0.1816860316341411,0.09084301581707055,60,72,69
unemployment_lag,0.0006601376588060148,0.013807783634836698,0.02206882204634522,0.15667968059849702,0.08937425132242112,62,42,70
bb_upper,0.0,0.014112070364089268,0.0,0.16013248293162238,0.08006624146581119,61,73,71
gdelt_tone_spike,0.0012054344314842425,0.00825553733943797,0.040298440184550005,0.09367723218436749,0.06698783618445875,68,40,72
macd_hist,0.0036624604316983778,0.0002509670516185506,0.12243838302623397,0.002847773294269618,0.06264307816025179,81,34,73
usd_return,0.0,0.00971501035624595,0.0,0.11023816420380261,0.05511908210190131,65,74,74
bb_position,0.0,0.009416720241165615,0.0,0.10685340665020349,0.05342670332510174,66,75,75
media_attention_spike,0.0,0.008483597435978402,0.0,0.09626507568106492,0.04813253784053246,67,76,76
fed_rate_regime,0.0,0.0060725552405351425,0.0,0.06890649800618982,0.03445324900309491,70,77,77
fed_rate_change,0.0,0.005428768435336505,0.0,0.06160132045708911,0.030800660228544555,71,78,78
momentum_10,0.0,0.004806144950290849,0.0,0.054536287331573285,0.027268143665786643,72,79,79
price_vs_ma20,0.0,0.0046743662557314665,0.0,0.05304096814644651,0.026520484073223254,73,80,80
vix_lag1,0.0,0.00047507506918635374,0.0,0.00539077176098198,0.00269538588049099,80,81,81
oil_volatility_7d,0.0,4.028908351102888e-05,0.0,0.00045716828298119803,0.00022858414149059901,82,82,82
