Scheme,Model,Inner_Accuracy,Inner_F1_binary,Inner_F1_macro,Inner_AUC,Inner_Precision_UP,Inner_Recall_UP
linear_05,LGBM,0.5828402366863905,0.5220338983050847,0.5759775790738022,0.6027195109096658,0.6637931034482759,0.4301675977653631
step_30pct_3x,XGB,0.5798816568047337,0.5170068027210885,0.5726395270149944,0.586100277572819,0.6608695652173913,0.4245810055865922
linear_03,XGB,0.5769230769230769,0.5545171339563862,0.5758501162739678,0.5996978321211484,0.6267605633802817,0.4972067039106145
uniform,XGB,0.5769230769230769,0.5372168284789642,0.5737855259561033,0.6186711640490495,0.6384615384615384,0.46368715083798884
exp_hl1000,XGB,0.5739644970414202,0.5609756097560975,0.5735912531539108,0.5877516601665437,0.6174496644295302,0.5139664804469274
exp_hl500,XGB,0.5710059171597633,0.5510835913312693,0.5701593594050114,0.5767541548083343,0.6180555555555556,0.4972067039106145
uniform,LGBM,0.5710059171597633,0.4802867383512544,0.5575237218204634,0.6091493622852324,0.67,0.3743016759776536
linear_01,XGB,0.5650887573964497,0.5927977839335179,0.5630655586334257,0.5717648712272935,0.5879120879120879,0.5977653631284916
exp_hl100,LGBM,0.5650887573964497,0.6278481012658228,0.552358214333979,0.5678999332419803,0.5740740740740741,0.6927374301675978
exp_hl1000,GBM,0.5621301775147929,0.4714285714285714,0.5488455988455989,0.5878570675661432,0.6534653465346535,0.3687150837988827
step_50pct_3x,LGBM,0.5591715976331361,0.5498489425981874,0.5589824423135865,0.5997329679210147,0.5986842105263158,0.5083798882681564
linear_03,LGBM,0.5591715976331361,0.5177993527508091,0.555902401171045,0.5967815607322301,0.6153846153846154,0.44692737430167595
step_50pct_2x,LGBM,0.5591715976331361,0.5177993527508091,0.555902401171045,0.5863462281718843,0.6153846153846154,0.44692737430167595
linear_05,XGB,0.5591715976331361,0.5114754098360657,0.5549290795811055,0.5692702294367731,0.6190476190476191,0.43575418994413406
exp_hl500,GBM,0.5591715976331361,0.5016722408026756,0.553223388305847,0.5910895611538596,0.625,0.41899441340782123
exp_hl100,XGB,0.5591715976331361,0.6426858513189448,0.5336981380146848,0.5641052668564,0.5630252100840336,0.7486033519553073
step_50pct_2x,XGB,0.5562130177514792,0.5253164556962027,0.554324894514768,0.5934787955447806,0.6058394160583942,0.46368715083798884
step_30pct_3x,LGBM,0.5562130177514792,0.5161290322580645,0.5531464833421469,0.6086925968869681,0.6106870229007634,0.44692737430167595
exp_hl1000,LGBM,0.5562130177514792,0.489795918367347,0.548562880649642,0.5850462035768245,0.6260869565217392,0.4022346368715084
linear_01,GBM,0.5562130177514792,0.4827586206896552,0.5470787922101126,0.5747514142159447,0.6306306306306306,0.39106145251396646
step_50pct_3x,XGB,0.5502958579881657,0.5846994535519124,0.5471884364533757,0.5747514142159447,0.5721925133689839,0.5977653631284916
step_50pct_2x,GBM,0.5502958579881657,0.4933333333333334,0.5445390070921986,0.5660377358490566,0.6115702479338843,0.4134078212290503
linear_03,GBM,0.5502958579881657,0.44927536231884063,0.5346376811594203,0.5900354871578651,0.6391752577319587,0.3463687150837989
linear_01,LGBM,0.5473372781065089,0.5080385852090031,0.5444302515086111,0.580443413794315,0.5984848484848485,0.441340782122905
exp_hl500,LGBM,0.5473372781065089,0.49504950495049505,0.5424309186950866,0.5832894135835003,0.6048387096774194,0.41899441340782123
step_50pct_3x,GBM,0.5473372781065089,0.47422680412371127,0.5384121033605569,0.5768595622079337,0.6160714285714286,0.3854748603351955
exp_hl250,GBM,0.5384615384615384,0.5301204819277109,0.5383160549173438,0.5689540072379748,0.5751633986928104,0.49162011173184356
exp_hl250,LGBM,0.5384615384615384,0.5301204819277109,0.5383160549173438,0.5506131197076701,0.5751633986928104,0.49162011173184356
step_30pct_3x,GBM,0.5295857988165681,0.4536082474226804,0.5203106172178337,0.5594673412740241,0.5892857142857143,0.3687150837988827
uniform,GBM,0.5295857988165681,0.3614457831325301,0.49454022177703794,0.5766838832086012,0.6428571428571429,0.25139664804469275
exp_hl250,XGB,0.5236686390532544,0.5194029850746268,0.5236311113056419,0.5473806261199536,0.5576923076923077,0.4860335195530726
linear_05,GBM,0.514792899408284,0.36923076923076925,0.4875,0.5793190681985876,0.5925925925925926,0.2681564245810056
exp_hl100,GBM,0.4822485207100592,0.5283018867924528,0.477265697494587,0.5223288008151505,0.5104166666666666,0.547486033519553
