,RandomForest,GradientBoosting,XGBoost,LightGBM,Mean
conflict_event_count,0.031771729663450834,0.06756331281526001,0.039913055,0.06724674613215126,0.051623710791629154
oil_return_lag2,0.03997474247411562,0.05708876347259939,0.023542743,0.06103813687168514,0.0454110964986555
oil_return_lag1,0.046552358872714604,0.04131016205236926,0.025075356,0.04707262803699771,0.040002626126691976
sp500_return,0.033216598586110896,0.0486885290631863,0.025510423,0.04421166381503218,0.037906803587436824
conflict_intensity_7d,0.03427095315185711,0.04494032417012132,0.028730828,0.04109392627087106,0.037259007976967275
oil_volatility_7d,0.03162055771977241,0.04982599186806563,0.022915121,0.043113088118504735,0.036868689718560235
net_imports_change_pct,0.03075764353822874,0.039015928888107836,0.03038041,0.044390232157809864,0.03613605344876669
gdelt_tone_30d,0.031178194626261556,0.03723460773759055,0.027658336,0.04369610774484333,0.03494181149330984
fatalities,0.03236136371222731,0.03257527594293969,0.030020744,0.04158043693863685,0.03413445505056964
gdelt_tone_lag1,0.03493461506770947,0.040319293365482706,0.027147762,0.03405471861884158,0.03411409738235792
usd_return,0.034474181731574065,0.036260371438712906,0.022965329,0.04176198259091986,0.03386546613227563
gdelt_volume_log,0.03234972263285076,0.032675615811798495,0.025753597,0.03742139430631782,0.03205008238713814
day_of_week,0.01928621086242285,0.02822429428797674,0.04094242,0.03595089211675748,0.031100954146875498
geopolitical_stress_index,0.030640656069731816,0.03154062585094129,0.032349724,0.022778879158802397,0.02932747135050824
gdelt_goldstein_7d,0.03229918240808722,0.02869379942415204,0.027358374,0.02816960853344456,0.029130240998187607
gdelt_goldstein,0.030574749854572238,0.031907115272682356,0.027725128,0.023770609095267507,0.028494400669868074
inventory_change_pct,0.02889849085045221,0.024764195899807204,0.026378818,0.03055514040177096,0.027649161252085542
unemployment_lag,0.010385777016017284,0.01769140972016779,0.057811044,0.024450595608849376,0.027584706625396454
production_change_pct,0.02155380084136673,0.030447778455725757,0.024923427,0.032113600428620916,0.027259651689039384
vix_return,0.03143455436547685,0.019989403503865504,0.026537977,0.028932205250321856,0.026723535069671872
yield_spread,0.02654711688605355,0.029664092990726188,0.020581923,0.030068861074157464,0.0267154985940337
gdelt_events,0.027922291971895816,0.022325080446707987,0.024249988,0.019809861158364674,0.02357680531342704
gdelt_volume_lag1,0.02880528736207736,0.02017014738646633,0.024400178,0.020805700461028125,0.02354532838815736
gdelt_volume_7d,0.02621565769634967,0.019593361350427645,0.026264194,0.01920111966410911,0.022818583277501213
gdelt_tone,0.030691627427832564,0.023314474326839477,0.022706568,0.013138210887909826,0.022462720220925315
net_imports_weekly,0.025500698657777505,0.014982995677719399,0.03383594,0.015514880201578301,0.02245862865001873
fatalities_7d,0.029085820386910825,0.02520969462242468,0.016888374,0.010213982330199302,0.020349467950564637
inventory_zscore,0.025613609227305087,0.022062878446454645,0.019873507,0.013564481618935347,0.020278619153393993
gdelt_tone_7d,0.027985751357634613,0.016364670289899283,0.017031275,0.012292881786311497,0.018418644542443244
month,0.01323403223703671,0.007573327606770011,0.039097276,0.012853709638411563,0.018189586266788606
vix_lag1,0.026999411548217875,0.015241711545102126,0.018378314,0.01085092343600608,0.017867590040036352
crude_inventory_weekly,0.019650671910394792,0.009820829651935094,0.023400858,0.012437079634746323,0.016327359810425136
crude_production_weekly,0.016718600309909824,0.00665865856617329,0.027821241,0.007326125026937261,0.01463115621241772
cpi_yoy,0.014355405649728056,0.006495272069456216,0.020628503,0.007855141115502649,0.012333580356782836
real_rate,0.01397185580207149,0.0052384798036846265,0.017684767,0.005897021119374916,0.010698030936964989
fed_funds_rate_lag,0.011997418341351136,0.0037386501212886263,0.021543048,0.0021000453715219326,0.009844790539090618
cpi_lag,0.011797373239439057,0.0017938063361298817,0.014856255,0.00903122844749496,0.009369665676252185
fed_rate_change,0.0013750494057207159,0.007391031070218659,0.01711723,0.002690118718162852,0.007143357353932843
media_attention_spike,0.0007044995336585029,0.0014121097111202236,0.0,0.0009460361128013914,0.0007656613393950295
fed_rate_regime,0.0017227559593598677,0.00010760057211341147,0.0,0.0,0.0004575891328683198
gdelt_tone_spike,0.00029784109487403736,8.423147985709284e-05,0.0,0.0,9.551814368278255e-05
recession_signal,0.0002711399494003926,9.688693231823793e-08,0.0,0.0,6.78092090831777e-05
