feature,MI,abs_sp,MI_n,abs_sp_n,mix_score,rank_spearman,rank_mi,rank_mi_spearman
gdelt_volume_7d,0.026881700251186746,0.07041341884129623,1.0,0.7194079488168152,0.8597039744084076,8,1,1
geopolitical_stress_index,0.02212115710026774,0.07578016644182686,0.8229076618504129,0.7742395554430648,0.7985736086467388,3,2,2
gdelt_tone_7d,0.019251946002567966,0.060574018022454525,0.7161729288949292,0.618879622296786,0.6675262755958575,15,4,3
stress_goldstein,0.0189408039760659,0.05762242041517033,0.7045984368205922,0.5887233990181685,0.6466609179193803,19,5,4
gdelt_goldstein,0.018704163965491016,0.05762242041517033,0.6957954218191718,0.5887233990181685,0.6422594104186701,20,6,5
sp500_close,0.0087712659535506,0.0738164812339131,0.3262913384045853,0.754176749648459,0.5402340440265222,5,23,6
gdelt_tone_30d,0.01095483762262317,0.06490097012712537,0.40752026546905445,0.6630877262274565,0.5353039958482555,12,16,7
cpi_lag,0.008492408815744756,0.07089570218761918,0.31591784509128445,0.7243353970026319,0.5201266210469582,7,24,8
day_of_week,0.0,0.09787689857625662,0.0,1.0,0.5,1,52,9
bb_width,0.017710823347928173,0.030687141699478074,0.6588431231073746,0.31352793300422666,0.4861855280558006,42,7,10
usd_close,0.009457383302565958,0.05786313037586917,0.35181492294738476,0.5911827123413353,0.4714988176443601,17,22,11
stress_tone,0.005581547943002807,0.06927649230267427,0.20763373934118615,0.7077920664670473,0.4577129029041167,9,32,12
gdelt_tone,0.005239091928989303,0.06927649230267427,0.1948943660569987,0.7077920664670473,0.451343216262023,10,33,13
inventory_zscore,0.010247938073743246,0.0486594463342359,0.3812235825109623,0.4971494504019757,0.439186516456469,22,19,14
momentum_5,0.020615835510059632,0.010325079134009861,0.7669096566594409,0.10549046081558781,0.43620005873751433,69,3,15
macd_signal,0.010314626523797887,0.04743642007607893,0.38370439471523116,0.48465389449504126,0.4341791446051362,24,18,16
inventory_change_pct,0.0031464210271296977,0.07225265163934397,0.1170469500712029,0.7381992348587894,0.42762309246499614,6,40,17
cpi_yoy,0.010045229653599552,0.04459031267919998,0.37368282362110206,0.455575455779888,0.41462913970049503,26,21,18
ret_std_5,0.013647287180663437,0.029540278724442207,0.5076794642132412,0.30181053092346566,0.4047449975683534,46,13,19
fatalities,0.005638298519505369,0.05768576792359956,0.2097448623718083,0.5893706151575302,0.39955773876466927,18,31,20
conflict_event_count,0.0,0.07817939587219716,0.0,0.7987522797454295,0.39937613987271475,2,53,21
conflict_intensity_7d,0.0,0.07558374323786711,0.0,0.7722327161702949,0.38611635808514744,4,54,22
gdelt_vol_momentum,0.014045727056948731,0.022900835539695394,0.522501438737256,0.23397590108408658,0.3782386699106713,53,12,23
