Model,Accuracy,F1_macro,AUC,Scheme
GBM,0.5738095238095238,0.5731101407634958,0.5941688020136511,uniform
GBM,0.5666666666666667,0.5641364838974546,0.5750300460327898,linear_01
GBM,0.5654761904761905,0.5651501763652171,0.5912208893625707,step_50pct_2x
LGBM,0.5630952380952381,0.5630896652593358,0.5878137826254564,step_50pct_3x
GBM,0.5630952380952381,0.5622459107877955,0.5931767160253067,linear_03
XGB,0.5619047619047619,0.5617457580981762,0.5827002879883898,linear_03
GBM,0.5607142857142857,0.5606987209013925,0.5853647474999434,step_50pct_3x
XGB,0.5607142857142857,0.5586821973628571,0.580727454137282,linear_01
LGBM,0.5583333333333333,0.5583276997580751,0.5879441710696387,linear_05
XGB,0.5583333333333333,0.5581523611569932,0.5785335268373433,linear_05
XGB,0.555952380952381,0.5558107389686338,0.5902854940021316,exp_hl1000
LGBM,0.555952380952381,0.5545578490483956,0.5820766910814303,uniform
XGB,0.5547619047619048,0.5527742346938775,0.5777455271094583,uniform
GBM,0.5535714285714286,0.5495875508858826,0.5903761990067802,linear_05
XGB,0.5511904761904762,0.5504099378881988,0.5656477471144471,exp_hl500
LGBM,0.5511904761904762,0.5504099378881988,0.5836243452232477,step_50pct_2x
GBM,0.55,0.5454545454545454,0.5851209777999502,exp_hl1000
LGBM,0.5488095238095239,0.5484710050477186,0.5708689539445339,linear_01
XGB,0.5476190476190477,0.5375414358237326,0.5638676613982176,step_30pct_3x
GBM,0.5464285714285714,0.5340338452981883,0.5737885212816618,exp_hl500
LGBM,0.544047619047619,0.5439021796916534,0.5801662169210186,linear_03
GBM,0.5416666666666666,0.5396932711810127,0.5664017324655888,exp_hl250
XGB,0.5416666666666666,0.5283782423995835,0.5571044694891041,exp_hl250
XGB,0.5404761904761904,0.5402155416903006,0.5652679199074809,step_50pct_3x
GBM,0.5380952380952381,0.5287967198514911,0.5786752534071068,step_30pct_3x
LGBM,0.5369047619047619,0.5158931812289345,0.5470192067847344,exp_hl250
LGBM,0.5357142857142857,0.5276135544340302,0.5606249574820291,step_30pct_3x
XGB,0.5321428571428571,0.5268311071423964,0.5567586566588811,step_50pct_2x
LGBM,0.5321428571428571,0.5302728691744771,0.5669176171795279,exp_hl1000
XGB,0.5297619047619048,0.5293450122344764,0.5498820834939568,exp_hl100
LGBM,0.5285714285714286,0.517364657814096,0.5600070296378602,exp_hl500
GBM,0.5083333333333333,0.491914897356323,0.5125002834531396,exp_hl100
LGBM,0.5047619047619047,0.46309714770359717,0.5258509263248601,exp_hl100
