feature,MI,abs_sp,MI_n,abs_sp_n,score
sp500_return,0.046268896390763814,0.265549797960984,1.0,1.0,1.0
vix_return,0.044975747488098516,0.23652720390321047,0.9720514426852974,0.8907075272486644,0.931379484966981
usd_return,0.030369437251971387,0.11175727713636553,0.6563683083228613,0.4208524276594837,0.5386103679911725
cpi_lag,0.024634010077954738,0.034373259649018946,0.5324097179649215,0.12944185954179957,0.33092578875336054
sp500_close,0.02003741278863158,0.057851412970809334,0.4330644201972244,0.2178552324837738,0.3254598263404991
gdelt_tone_lag1,0.017683273817653333,0.06504869670991857,0.3821849059962291,0.2449585622334982,0.31357173411486366
gdelt_tone_30d,0.015913028613268487,0.05721486319751895,0.34392496589663724,0.21545813115596973,0.2796915485263035
fed_funds_rate_lag,0.014370502156903164,0.05503409418165436,0.31058666356632186,0.20724585220637323,0.25891625788634753
fed_rate_change,0.012443349540854243,0.048869717660777336,0.2689355163296737,0.18403221556190955,0.22648386594579162
gdelt_volume_7d,0.010676406381678216,0.05243486833222103,0.2307469426439451,0.19745776021989309,0.21410235143191908
ma_5,0.016966296466470965,0.008309834229329651,0.3666890241596031,0.031292941260496,0.19899098271004953
ret_mean_5,0.01592789026672614,0.009677338119542203,0.34424616771074884,0.03644264915224695,0.19034440843149789
inventory_zscore,0.013510602170268449,0.014799504254820331,0.2920018246418653,0.055731559084050794,0.17386669186295806
vix_return_lag1,0.012031363380591298,0.01824023376342206,0.2600313454416647,0.06868856200787625,0.16435995372477047
month,0.009784797723633165,0.028704940070851025,0.2114767908228389,0.10809626025423867,0.15978652553853878
gdelt_goldstein_7d,0.0050544042183671145,0.05468948448510403,0.10923978336721413,0.20594813065208697,0.15759395700965056
geopolitical_stress_index,0.0037362714367064065,0.057225402823401675,0.0807512546906617,0.21549782098425674,0.1481245378374592
vix_lag1,0.01025003910257194,0.016659595957225392,0.221531955636142,0.06273624037805937,0.1421340980071007
sp500_return_lag1,0.006190979358609017,0.03413897103950125,0.13380434463625673,0.12855958205065976,0.13118196334345825
oil_volatility_7d,0.011287021085977234,0.004672134308172515,0.24394403079452628,0.017594192667617733,0.130769111731072
