Case,Ranking,Subset,N,CV_Acc
MI_TOP_20,mi,TOP_20,20,0.5325443786982249
SPEARMAN_TOP_40,spearman,TOP_40,40,0.5266272189349113
MI_SPEARMAN_TOP_25,mi_spearman,TOP_25,25,0.5248520710059171
SPEARMAN_TOP_25,spearman,TOP_25,25,0.5248520710059171
MI_TOP_30,mi,TOP_30,30,0.5236686390532546
MI_TOP_50,mi,TOP_50,50,0.5230769230769231
MI_SPEARMAN_TOP_30,mi_spearman,TOP_30,30,0.5224852071005918
MI_TOP_40,mi,TOP_40,40,0.5218934911242604
MI_TOP_15,mi,TOP_15,15,0.521301775147929
SPEARMAN_TOP_30,spearman,TOP_30,30,0.5207100591715976
MI_SPEARMAN_TOP_50,mi_spearman,TOP_50,50,0.5201183431952663
MI_SPEARMAN_TOP_15,mi_spearman,TOP_15,15,0.5189349112426035
SPEARMAN_TOP_15,spearman,TOP_15,15,0.5183431952662723
MI_TOP_10,mi,TOP_10,10,0.5183431952662721
MI_SPEARMAN_TOP_40,mi_spearman,TOP_40,40,0.5177514792899408
SPEARMAN_TOP_50,spearman,TOP_50,50,0.5171597633136095
MI_SPEARMAN_TOP_20,mi_spearman,TOP_20,20,0.5142011834319528
ALL_56,all,ALL_56,56,0.5118343195266272
SPEARMAN_TOP_20,spearman,TOP_20,20,0.5106508875739645
SPEARMAN_TOP_10,spearman,TOP_10,10,0.5094674556213017
MI_TOP_25,mi,TOP_25,25,0.5059171597633136
MI_SPEARMAN_TOP_10,mi_spearman,TOP_10,10,0.4988165680473373
