Case,Ranking,Subset,N,CV_Acc
MI_SPEARMAN_TOP_30,mi_spearman,TOP_30,30,0.5349112426035504
MI_TOP_20,mi,TOP_20,20,0.5319526627218935
ALL_56,all,ALL_56,56,0.5272189349112425
SPEARMAN_TOP_30,spearman,TOP_30,30,0.5272189349112425
SPEARMAN_TOP_40,spearman,TOP_40,40,0.5260355029585798
SPEARMAN_TOP_25,spearman,TOP_25,25,0.5236686390532543
SPEARMAN_TOP_15,spearman,TOP_15,15,0.523076923076923
MI_TOP_15,mi,TOP_15,15,0.5218934911242603
MI_TOP_40,mi,TOP_40,40,0.5207100591715977
MI_SPEARMAN_TOP_40,mi_spearman,TOP_40,40,0.5201183431952663
MI_SPEARMAN_TOP_25,mi_spearman,TOP_25,25,0.5201183431952663
MI_TOP_30,mi,TOP_30,30,0.5201183431952663
MI_SPEARMAN_TOP_15,mi_spearman,TOP_15,15,0.5195266272189348
MI_TOP_10,mi,TOP_10,10,0.5171597633136095
SPEARMAN_TOP_50,spearman,TOP_50,50,0.5142011834319526
MI_SPEARMAN_TOP_50,mi_spearman,TOP_50,50,0.51301775147929
MI_TOP_25,mi,TOP_25,25,0.5106508875739645
MI_SPEARMAN_TOP_10,mi_spearman,TOP_10,10,0.5106508875739644
SPEARMAN_TOP_10,spearman,TOP_10,10,0.5100591715976331
MI_SPEARMAN_TOP_20,mi_spearman,TOP_20,20,0.5094674556213018
MI_TOP_50,mi,TOP_50,50,0.5071005917159763
SPEARMAN_TOP_20,spearman,TOP_20,20,0.504733727810651
