,RandomForest,GradientBoosting,XGBoost,LightGBM,Mean
sp500_return,0.18736730261812456,0.2409395771961893,0.108939596,0.37444555781490574,0.227923008287429
oil_volatility_7d,0.1976139720871468,0.15412244763593447,0.09669588,0.2576845982931074,0.17652922390695644
vix_return,0.05935993129149779,0.07459960537435212,0.09166166,0.10110848730006387,0.08168242145731021
usd_return,0.05723974712118995,0.08009258842306619,0.07123553,0.11276850742483853,0.08033409326187645
oil_return_lag1,0.03486662106881219,0.09799299649231528,0.13334627,0.0,0.06655147301406307
oil_return_lag2,0.04067240246560099,0.024909565304745362,0.04573183,0.032671379510546786,0.035996294655718755
vix_lag1,0.031496948038339155,0.03855638840701323,0.03678428,0.02516754071046607,0.033001289311835644
gdelt_tone_30d,0.02468569541992899,0.029598536049406682,0.057077564,0.010973936871769941,0.03058393316005305
gdelt_tone,0.013374601329054107,0.026649241706911662,0.07330309,0.0,0.028331732895441254
gdelt_tone_7d,0.014833710940761087,0.048500298955412906,0.033222575,0.0,0.024139146159205566
conflict_intensity_7d,0.015624516089589126,0.004099114213032683,0.0608806,0.005226690797715757,0.021457730626608745
real_rate,0.01473738592987922,0.012613898565860652,0.034462247,0.014606756434290692,0.019105071993469648
fatalities_7d,0.017723477926265312,0.012902704193490919,0.045006186,0.0,0.018908091972447756
crude_inventory_weekly,0.012030548717736069,0.007010908985539541,0.039956912,0.008700161405500492,0.016924632876778603
inventory_change_pct,0.019801297668177287,0.008052860789704578,0.0,0.0378290784316984,0.016420809222395066
fed_rate_change,0.00029090281891793656,0.019934033296649223,0.04159645,0.0,0.015455346506790387
conflict_event_count,0.017096649805268798,0.0064533464088573755,0.03009933,0.0,0.013412331671023027
geopolitical_stress_index,0.012409923167662424,0.012454360160559945,0.0,0.010425875450656277,0.008822539694719661
inventory_zscore,0.021536621924578055,0.011410571463141964,0.0,0.0005680253602597594,0.008378804686994945
gdelt_tone_lag1,0.014961732556893592,0.010849087017561106,0.0,0.005375648166116804,0.007796616935142876
gdelt_goldstein_7d,0.017498135848624877,0.007212776060091896,0.0,0.0,0.006177727977179193
fatalities,0.01725499951687185,0.006903727075469457,0.0,0.0,0.006039681648085327
gdelt_goldstein,0.016151650330760825,0.006355635737171843,0.0,0.0,0.005626821516983167
gdelt_volume_lag1,0.013068590573798158,0.009125287856265086,0.0,0.0,0.0055484696075158105
gdelt_volume_7d,0.010658846028002059,0.010092151934182945,0.0,0.0,0.005187749490546251
net_imports_change_pct,0.017346865208307628,0.0016263281247348956,0.0,0.0006722324856353116,0.004911356454669459
cpi_yoy,0.010965936918360408,0.006305039412719784,0.0,0.0017755235424281235,0.004761624968377079
net_imports_weekly,0.013188801349170722,0.004997875575850556,0.0,0.0,0.004546669231255319
yield_spread,0.011125568624341955,0.0064954383580308386,0.0,0.0,0.004405251745593199
gdelt_volume_log,0.010535986664242544,0.0058205364294144635,0.0,0.0,0.004089130773414252
production_change_pct,0.010553308253439678,0.002873881214477479,0.0,0.0,0.0033567973669792893
gdelt_events,0.009164748648211768,0.000976578421655387,0.0,0.0,0.0025353317674667885
month,0.007518817514052811,0.002489157450342566,0.0,0.0,0.0025019937410988443
day_of_week,0.006752786746342142,0.002861692789204413,0.0,0.0,0.002403619883886639
crude_production_weekly,0.0077512315847668165,0.0015726965579580842,0.0,0.0,0.002330982035681225
unemployment_lag,0.00376670598038794,0.001289713087617608,0.0,0.0,0.0012641047670013872
fed_funds_rate_lag,0.0047403062144758664,0.0002683641059512542,0.0,0.0,0.00125216758010678
cpi_lag,0.0035937805827739606,7.668272221162822e-07,0.0,0.0,0.0008986368524990193
gdelt_tone_spike,3.16648987585986e-05,0.0008125465088300672,0.0,0.0,0.00021105285189716645
fed_rate_regime,0.00042770231894706496,0.00017767583306403287,0.0,0.0,0.00015134453800277447
media_attention_spike,0.00013268883363250133,0.0,0.0,0.0,3.317220840812533e-05
recession_signal,4.6888376306392496e-05,0.0,0.0,0.0,1.1722094076598124e-05
