Model,MAE,RMSE,R2,DA%,Time_s
LightGBM,0.014028709225638937,0.01937988979780768,0.0140116430472782,49.88095238095238,24.5
XGBoost,0.014006033816721476,0.01948165353719472,0.0036296130004592753,48.80952380952381,26.7
ElasticNet,0.014124815091790232,0.019585242671644326,-0.006994490509041329,48.69047619047619,0.2
GradientBoosting,0.014058155796986601,0.019663716281053963,-0.015080252449623188,49.523809523809526,33.4
Lasso,0.014278469329843299,0.01975945762067842,-0.024989034272394628,47.85714285714286,0.1
SVR,0.014844892286066974,0.019981960767279042,-0.04820296588023498,48.80952380952381,2.8
Ridge,0.014830521924696765,0.020275320853132207,-0.07920674613685841,50.0,5.2
RandomForest,0.01465280639523378,0.020284527534078837,-0.08018706779234508,48.80952380952381,24.1
LinearRegression,0.016980069284265945,0.022514468521114783,-0.3307380630322234,51.90476190476191,0.1
MLP,0.04204078004979856,0.06608551111923494,-10.465201369115077,48.45238095238095,6.6
